p, theta_p
0.562000, 0.587700
0.563000, 0.588400
0.564000, 0.590200
0.565000, 0.591200
0.566000, 0.592700
0.567000, 0.594300
0.568000, 0.595900
0.569000, 0.596400
0.570000, 0.598000
0.571000, 0.599000
0.572000, 0.600900
0.573000, 0.603100
0.574000, 0.605600
0.575000, 0.607500
0.576000, 0.608600
0.577000, 0.611300
0.578000, 0.612900
0.579000, 0.613800
0.580000, 0.615500
0.581000, 0.617200
0.582000, 0.619000
0.583000, 0.619900
0.584000, 0.621500
0.585000, 0.623500
0.586000, 0.625800
0.587000, 0.627900
0.588000, 0.629500
0.589000, 0.631600
0.590000, 0.633400
0.591000, 0.634000
0.592000, 0.636300
0.593000, 0.638200
0.594000, 0.639400
0.595000, 0.640400
0.596000, 0.641400
0.597000, 0.643200
0.598000, 0.644900
0.599000, 0.646500
0.600000, 0.647400
0.601000, 0.649100
0.602000, 0.651400
0.603000, 0.652200
0.604000, 0.654200
0.605000, 0.655800
0.606000, 0.657700
0.607000, 0.659200
0.608000, 0.661500
0.609000, 0.662800
0.610000, 0.664800
0.611000, 0.667100
0.612000, 0.668200
0.613000, 0.669600
0.614000, 0.671000
0.615000, 0.672900
0.616000, 0.674500
0.617000, 0.675400
0.618000, 0.678500
0.619000, 0.680300
0.620000, 0.680300
0.621000, 0.681500
0.622000, 0.682700
0.623000, 0.683800
0.624000, 0.685400
0.625000, 0.687500
0.626000, 0.689400
0.627000, 0.691700
0.628000, 0.692900
0.629000, 0.694600
0.630000, 0.696400
0.631000, 0.697500
0.632000, 0.700000
0.633000, 0.701000
0.634000, 0.702000
0.635000, 0.703100
0.636000, 0.704900
0.637000, 0.706800
0.638000, 0.709500
0.639000, 0.710300
0.640000, 0.712600
0.641000, 0.714200
0.642000, 0.715600
0.643000, 0.718400
0.644000, 0.719100
0.645000, 0.720000
0.646000, 0.721300
0.647000, 0.722400
0.648000, 0.723800
0.649000, 0.725000
0.650000, 0.726500
0.651000, 0.727800
0.652000, 0.728600
0.653000, 0.729600
0.654000, 0.730200
0.655000, 0.731500
0.656000, 0.732900
0.657000, 0.733100
0.658000, 0.735300
0.659000, 0.737000
0.660000, 0.738900
0.661000, 0.740600
0.662000, 0.742100
0.663000, 0.743400
0.664000, 0.745000
0.665000, 0.746200
0.666000, 0.747300
0.667000, 0.748900
0.668000, 0.750300
0.669000, 0.751700
0.670000, 0.752500
0.671000, 0.752900
0.672000, 0.754800
0.673000, 0.756400
0.674000, 0.756700
0.675000, 0.759200
0.676000, 0.760200
0.677000, 0.762000
0.678000, 0.763900
0.679000, 0.765300
0.680000, 0.766600
0.681000, 0.767600
0.682000, 0.769500
0.683000, 0.771200
0.684000, 0.771600
0.685000, 0.773500
0.686000, 0.775000
0.687000, 0.775400
0.688000, 0.776800
0.689000, 0.778000
0.690000, 0.778900
0.691000, 0.780900
0.692000, 0.781700
0.693000, 0.782800
0.694000, 0.783700
0.695000, 0.785100
0.696000, 0.786700
0.697000, 0.788000
0.698000, 0.789000
0.699000, 0.790300
0.700000, 0.791400
0.701000, 0.792700
0.702000, 0.794200
0.703000, 0.795000
0.704000, 0.795800
0.705000, 0.797400
0.706000, 0.799500
0.707000, 0.801500
0.708000, 0.802100
0.709000, 0.803400
0.710000, 0.804600
0.711000, 0.806100
0.712000, 0.807000
0.713000, 0.807400
0.714000, 0.809200
0.715000, 0.811800
0.716000, 0.812700
0.717000, 0.814500
0.718000, 0.816100
0.719000, 0.817300
0.720000, 0.817900
0.721000, 0.820500
0.722000, 0.821400
0.723000, 0.822700
0.724000, 0.823500
0.725000, 0.824100
0.726000, 0.825300
0.727000, 0.826500
0.728000, 0.828400
0.729000, 0.829700
0.730000, 0.832100
0.731000, 0.833000
0.732000, 0.834600
0.733000, 0.835300
0.734000, 0.836500
0.735000, 0.837800
0.736000, 0.838800
0.737000, 0.840300
0.738000, 0.841100
0.739000, 0.842100
0.740000, 0.843700
0.741000, 0.844800
0.742000, 0.846100
0.743000, 0.847600
0.744000, 0.849300
0.745000, 0.850300
0.746000, 0.851300
0.747000, 0.852600
0.748000, 0.853500
0.749000, 0.854700
0.750000, 0.856800
0.751000, 0.858100
0.752000, 0.859600
0.753000, 0.860300
0.754000, 0.860600
0.755000, 0.861400
0.756000, 0.862200
0.757000, 0.863200
0.758000, 0.863500
0.759000, 0.864700
0.760000, 0.865900
0.761000, 0.867700
0.762000, 0.869100
0.763000, 0.870800
0.764000, 0.871800
0.765000, 0.873800
0.766000, 0.874500
0.767000, 0.875600
0.768000, 0.876500
0.769000, 0.877300
0.770000, 0.877600
0.771000, 0.879800
0.772000, 0.880700
0.773000, 0.881900
0.774000, 0.882900
0.775000, 0.884000
0.776000, 0.885400
0.777000, 0.886000
0.778000, 0.886200
0.779000, 0.887300
0.780000, 0.887800
0.781000, 0.889700
0.782000, 0.890500
0.783000, 0.890600
0.784000, 0.891500
0.785000, 0.892700
0.786000, 0.893200
0.787000, 0.893600
0.788000, 0.894700
0.789000, 0.895300
0.790000, 0.896200
0.791000, 0.896800
0.792000, 0.897800
0.793000, 0.899100
0.794000, 0.900500
0.795000, 0.901000
0.796000, 0.902000
0.797000, 0.902800
0.798000, 0.904000
0.799000, 0.904600
0.800000, 0.906300
0.801000, 0.906900
0.802000, 0.907100
0.803000, 0.908000
0.804000, 0.909000
0.805000, 0.910200
0.806000, 0.911800
0.807000, 0.912500
0.808000, 0.912600
0.809000, 0.913500
0.810000, 0.913800
0.811000, 0.914900
0.812000, 0.916500
0.813000, 0.916800
0.814000, 0.917200
0.815000, 0.917900
0.816000, 0.918300
0.817000, 0.919500
0.818000, 0.920500
0.819000, 0.921600
0.820000, 0.922700
0.821000, 0.922000
0.822000, 0.923100
0.823000, 0.923800
0.824000, 0.924800
0.825000, 0.926000
0.826000, 0.926900
0.827000, 0.927700
0.828000, 0.928700
0.829000, 0.929700
0.830000, 0.930800
0.831000, 0.931500
0.832000, 0.931900
0.833000, 0.932500
0.834000, 0.933000
0.835000, 0.934200
0.836000, 0.934800
0.837000, 0.935600
0.838000, 0.936900
0.839000, 0.938000
0.840000, 0.939200
0.841000, 0.940200
0.842000, 0.940300
0.843000, 0.940800
0.844000, 0.941000
0.845000, 0.941400
0.846000, 0.941700
0.847000, 0.942500
0.848000, 0.943400
0.849000, 0.944200
0.850000, 0.944600
0.851000, 0.945500
0.852000, 0.945800
0.853000, 0.946500
0.854000, 0.947200
0.855000, 0.948100
0.856000, 0.948000
0.857000, 0.948900
0.858000, 0.949800
0.859000, 0.950700
0.860000, 0.951600
0.861000, 0.952100
0.862000, 0.952700
0.863000, 0.953100
0.864000, 0.954800
0.865000, 0.955200
0.866000, 0.956100
0.867000, 0.957200
0.868000, 0.958000
0.869000, 0.958400
0.870000, 0.959300
0.871000, 0.959600
0.872000, 0.960400
0.873000, 0.961700
0.874000, 0.962400
0.875000, 0.963600
0.876000, 0.964300
0.877000, 0.965300
0.878000, 0.966300
0.879000, 0.966500
0.880000, 0.967400
0.881000, 0.968400
0.882000, 0.969900
0.883000, 0.970100
0.884000, 0.970000
0.885000, 0.970700
0.886000, 0.971200
0.887000, 0.971600
0.888000, 0.971400
0.889000, 0.971800
0.890000, 0.971700
0.891000, 0.971800
0.892000, 0.972000
0.893000, 0.972800
0.894000, 0.973300
0.895000, 0.973300
0.896000, 0.974100
0.897000, 0.974400
0.898000, 0.974600
0.899000, 0.974700
0.900000, 0.975100
0.901000, 0.975900
0.902000, 0.976500
0.903000, 0.976300
0.904000, 0.977100
0.905000, 0.977200
0.906000, 0.977800
0.907000, 0.978400
0.908000, 0.978700
0.909000, 0.979200
0.910000, 0.979800
0.911000, 0.980300
0.912000, 0.981300
0.913000, 0.981600
0.914000, 0.981800
0.915000, 0.982200
0.916000, 0.982900
0.917000, 0.983000
0.918000, 0.982800
0.919000, 0.983400
0.920000, 0.984200
0.921000, 0.984600
0.922000, 0.985000
0.923000, 0.985400
0.924000, 0.985800
0.925000, 0.986500
0.926000, 0.987000
0.927000, 0.987400
0.928000, 0.987700
0.929000, 0.987900
0.930000, 0.988500
0.931000, 0.988900
0.932000, 0.989400
0.933000, 0.990300
0.934000, 0.990500
0.935000, 0.991100
0.936000, 0.991000
0.937000, 0.991200
0.938000, 0.991300
0.939000, 0.991800
0.940000, 0.991900
0.941000, 0.992200
0.942000, 0.992600
0.943000, 0.992900
0.944000, 0.993000
0.945000, 0.993300
0.946000, 0.993400
0.947000, 0.993600
0.948000, 0.993700
0.949000, 0.993800
0.950000, 0.993700
0.951000, 0.993700
0.952000, 0.994000
0.953000, 0.994300
0.954000, 0.994700
0.955000, 0.994700
0.956000, 0.994800
0.957000, 0.995100
0.958000, 0.995500
0.959000, 0.995800
0.960000, 0.995900
0.961000, 0.996500
0.962000, 0.996800
0.963000, 0.996800
0.964000, 0.996600
0.965000, 0.996800
0.966000, 0.997000
0.967000, 0.997200
0.968000, 0.997400
0.969000, 0.997700
0.970000, 0.997900
0.971000, 0.998000
0.972000, 0.997900
0.973000, 0.998000
0.974000, 0.998100
0.975000, 0.998100
0.976000, 0.998300
0.977000, 0.998500
0.978000, 0.998600
0.979000, 0.998900
0.980000, 0.998900
0.981000, 0.999000
0.982000, 0.999200
0.983000, 0.999300
0.984000, 0.999400
0.985000, 0.999400
0.986000, 0.999500
0.987000, 0.999400
0.988000, 0.999600
0.989000, 0.999600
0.990000, 0.999700
0.991000, 0.999800
0.992000, 0.999800
0.993000, 0.999900
0.994000, 1.000000
0.995000, 1.000000
0.996000, 1.000000
0.997000, 1.000000
0.998000, 1.000000
0.999000, 1.000000
