p, theta_p
0.000000, 0.000000
0.001000, 0.000000
0.002000, 0.000000
0.003000, 0.000100
0.004000, 0.000100
0.005000, 0.000100
0.006000, 0.000200
0.007000, 0.000200
0.008000, 0.000200
0.009000, 0.000200
0.010000, 0.000200
0.011000, 0.000200
0.012000, 0.000300
0.013000, 0.000300
0.014000, 0.000400
0.015000, 0.000400
0.016000, 0.000500
0.017000, 0.000500
0.018000, 0.000500
0.019000, 0.000500
0.020000, 0.000700
0.021000, 0.000800
0.022000, 0.001100
0.023000, 0.001100
0.024000, 0.001500
0.025000, 0.001600
0.026000, 0.001600
0.027000, 0.001600
0.028000, 0.002000
0.029000, 0.002000
0.030000, 0.002100
0.031000, 0.002200
0.032000, 0.002500
0.033000, 0.002500
0.034000, 0.002600
0.035000, 0.002800
0.036000, 0.002900
0.037000, 0.002900
0.038000, 0.003000
0.039000, 0.003100
0.040000, 0.003200
0.041000, 0.003500
0.042000, 0.003600
0.043000, 0.003600
0.044000, 0.003800
0.045000, 0.003900
0.046000, 0.003900
0.047000, 0.004000
0.048000, 0.004100
0.049000, 0.004200
0.050000, 0.004300
0.051000, 0.004300
0.052000, 0.004500
0.053000, 0.004700
0.054000, 0.004800
0.055000, 0.005200
0.056000, 0.005300
0.057000, 0.005400
0.058000, 0.005700
0.059000, 0.005700
0.060000, 0.006200
0.061000, 0.006400
0.062000, 0.006600
0.063000, 0.006800
0.064000, 0.007000
0.065000, 0.007000
0.066000, 0.007300
0.067000, 0.007400
0.068000, 0.007700
0.069000, 0.007900
0.070000, 0.008100
0.071000, 0.008300
0.072000, 0.008900
0.073000, 0.009300
0.074000, 0.009500
0.075000, 0.010000
0.076000, 0.010100
0.077000, 0.010700
0.078000, 0.011100
0.079000, 0.011500
0.080000, 0.011800
0.081000, 0.011900
0.082000, 0.012300
0.083000, 0.012600
0.084000, 0.013100
0.085000, 0.013700
0.086000, 0.014000
0.087000, 0.014100
0.088000, 0.014400
0.089000, 0.014400
0.090000, 0.014900
0.091000, 0.015500
0.092000, 0.015800
0.093000, 0.016500
0.094000, 0.016500
0.095000, 0.017300
0.096000, 0.017700
0.097000, 0.018200
0.098000, 0.018800
0.099000, 0.019400
0.100000, 0.019900
0.101000, 0.020400
0.102000, 0.020600
0.103000, 0.020900
0.104000, 0.021300
0.105000, 0.021500
0.106000, 0.022100
0.107000, 0.022300
0.108000, 0.022700
0.109000, 0.022800
0.110000, 0.023500
0.111000, 0.024000
0.112000, 0.024200
0.113000, 0.024800
0.114000, 0.025400
0.115000, 0.026300
0.116000, 0.026900
0.117000, 0.027700
0.118000, 0.028200
0.119000, 0.028900
0.120000, 0.029700
0.121000, 0.030100
0.122000, 0.030700
0.123000, 0.031100
0.124000, 0.031900
0.125000, 0.032000
0.126000, 0.032800
0.127000, 0.033200
0.128000, 0.033800
0.129000, 0.034700
0.130000, 0.035400
0.131000, 0.035800
0.132000, 0.036700
0.133000, 0.037500
0.134000, 0.038300
0.135000, 0.038600
0.136000, 0.039500
0.137000, 0.040100
0.138000, 0.040600
0.139000, 0.041200
0.140000, 0.041900
0.141000, 0.042500
0.142000, 0.043000
0.143000, 0.043700
0.144000, 0.044400
0.145000, 0.044800
0.146000, 0.045500
0.147000, 0.045900
0.148000, 0.046700
0.149000, 0.046900
0.150000, 0.047500
0.151000, 0.048400
0.152000, 0.049400
0.153000, 0.050000
0.154000, 0.050900
0.155000, 0.051500
0.156000, 0.052800
0.157000, 0.053800
0.158000, 0.054400
0.159000, 0.055300
0.160000, 0.056000
0.161000, 0.056300
0.162000, 0.056600
0.163000, 0.057100
0.164000, 0.058000
0.165000, 0.058800
0.166000, 0.060500
0.167000, 0.061100
0.168000, 0.061100
0.169000, 0.062200
0.170000, 0.063100
0.171000, 0.063500
0.172000, 0.064100
0.173000, 0.065100
0.174000, 0.066000
0.175000, 0.066500
0.176000, 0.067200
0.177000, 0.067600
0.178000, 0.068500
0.179000, 0.069600
0.180000, 0.070400
0.181000, 0.071000
0.182000, 0.072500
0.183000, 0.073500
0.184000, 0.074100
0.185000, 0.075300
0.186000, 0.075600
0.187000, 0.076900
0.188000, 0.077200
0.189000, 0.077900
0.190000, 0.078200
0.191000, 0.079000
0.192000, 0.080000
0.193000, 0.080300
0.194000, 0.080900
0.195000, 0.081500
0.196000, 0.082400
0.197000, 0.083500
0.198000, 0.084400
0.199000, 0.085300
0.200000, 0.086300
0.201000, 0.087100
0.202000, 0.088100
0.203000, 0.088400
0.204000, 0.088900
0.205000, 0.089800
0.206000, 0.091000
0.207000, 0.092700
0.208000, 0.094000
0.209000, 0.095100
0.210000, 0.096500
0.211000, 0.096800
0.212000, 0.097800
0.213000, 0.098600
0.214000, 0.099600
0.215000, 0.099900
0.216000, 0.100500
0.217000, 0.101700
0.218000, 0.102700
0.219000, 0.104000
0.220000, 0.105000
0.221000, 0.106100
0.222000, 0.107200
0.223000, 0.107900
0.224000, 0.108400
0.225000, 0.109300
0.226000, 0.110300
0.227000, 0.112000
0.228000, 0.113200
0.229000, 0.113800
0.230000, 0.114200
0.231000, 0.115600
0.232000, 0.116300
0.233000, 0.117200
0.234000, 0.118700
0.235000, 0.119100
0.236000, 0.119700
0.237000, 0.120400
0.238000, 0.121000
0.239000, 0.122300
0.240000, 0.123400
0.241000, 0.124700
0.242000, 0.126000
0.243000, 0.126800
0.244000, 0.127200
0.245000, 0.128600
0.246000, 0.130200
0.247000, 0.130800
0.248000, 0.131700
0.249000, 0.132400
0.250000, 0.133400
0.251000, 0.134100
0.252000, 0.135200
0.253000, 0.136600
0.254000, 0.137800
0.255000, 0.138400
0.256000, 0.139800
0.257000, 0.140900
0.258000, 0.141700
0.259000, 0.142700
0.260000, 0.143500
0.261000, 0.145300
0.262000, 0.147100
0.263000, 0.148600
0.264000, 0.149800
0.265000, 0.151200
0.266000, 0.153100
0.267000, 0.154100
0.268000, 0.155500
0.269000, 0.156200
0.270000, 0.157100
0.271000, 0.158200
0.272000, 0.159000
0.273000, 0.160100
0.274000, 0.161600
0.275000, 0.162900
0.276000, 0.164200
0.277000, 0.165400
0.278000, 0.166200
0.279000, 0.167700
0.280000, 0.168500
0.281000, 0.169600
0.282000, 0.170500
0.283000, 0.171500
0.284000, 0.172500
0.285000, 0.173300
0.286000, 0.175000
0.287000, 0.176800
0.288000, 0.178300
0.289000, 0.179600
0.290000, 0.180300
0.291000, 0.181000
0.292000, 0.181600
0.293000, 0.183400
0.294000, 0.184500
0.295000, 0.186100
0.296000, 0.186800
0.297000, 0.187300
0.298000, 0.188900
0.299000, 0.190300
0.300000, 0.191900
0.301000, 0.193300
0.302000, 0.194500
0.303000, 0.195400
0.304000, 0.196100
0.305000, 0.197200
0.306000, 0.198300
0.307000, 0.199300
0.308000, 0.201200
0.309000, 0.202700
0.310000, 0.204200
0.311000, 0.205400
0.312000, 0.207000
0.313000, 0.208400
0.314000, 0.209700
0.315000, 0.211100
0.316000, 0.213300
0.317000, 0.215500
0.318000, 0.216300
0.319000, 0.217200
0.320000, 0.218600
0.321000, 0.220000
0.322000, 0.220900
0.323000, 0.222200
0.324000, 0.222800
0.325000, 0.224200
0.326000, 0.226200
0.327000, 0.227400
0.328000, 0.229100
0.329000, 0.229900
0.330000, 0.230900
0.331000, 0.232100
0.332000, 0.232900
0.333000, 0.234000
0.334000, 0.235000
0.335000, 0.236200
0.336000, 0.237500
0.337000, 0.238500
0.338000, 0.240200
0.339000, 0.242100
0.340000, 0.243400
0.341000, 0.244700
0.342000, 0.245700
0.343000, 0.246600
0.344000, 0.248500
0.345000, 0.249800
0.346000, 0.251500
0.347000, 0.252500
0.348000, 0.254000
0.349000, 0.255700
0.350000, 0.257000
0.351000, 0.257700
0.352000, 0.259300
0.353000, 0.261200
0.354000, 0.263000
0.355000, 0.264300
0.356000, 0.265300
0.357000, 0.266500
0.358000, 0.267700
0.359000, 0.269300
0.360000, 0.271000
0.361000, 0.272400
0.362000, 0.273400
0.363000, 0.273800
0.364000, 0.275600
0.365000, 0.277400
0.366000, 0.279100
0.367000, 0.280300
0.368000, 0.281400
0.369000, 0.282800
0.370000, 0.284400
0.371000, 0.285100
0.372000, 0.286800
0.373000, 0.288500
0.374000, 0.289100
0.375000, 0.290400
0.376000, 0.292400
0.377000, 0.293400
0.378000, 0.295000
0.379000, 0.295800
0.380000, 0.297400
0.381000, 0.298800
0.382000, 0.299300
0.383000, 0.300700
0.384000, 0.302800
0.385000, 0.303600
0.386000, 0.305800
0.387000, 0.307400
0.388000, 0.308800
0.389000, 0.310000
0.390000, 0.311200
0.391000, 0.313100
0.392000, 0.315200
0.393000, 0.316200
0.394000, 0.317400
0.395000, 0.319300
0.396000, 0.320800
0.397000, 0.322500
0.398000, 0.324300
0.399000, 0.325600
0.400000, 0.326900
0.401000, 0.328400
0.402000, 0.329900
0.403000, 0.331400
0.404000, 0.332200
0.405000, 0.334100
0.406000, 0.335500
0.407000, 0.336600
0.408000, 0.337300
0.409000, 0.338400
0.410000, 0.340200
0.411000, 0.342100
0.412000, 0.344300
0.413000, 0.346100
0.414000, 0.347200
0.415000, 0.348700
0.416000, 0.349400
0.417000, 0.350000
0.418000, 0.352200
0.419000, 0.354000
0.420000, 0.355400
0.421000, 0.357200
0.422000, 0.358700
0.423000, 0.360200
0.424000, 0.361000
0.425000, 0.362300
0.426000, 0.363400
0.427000, 0.366000
0.428000, 0.367900
0.429000, 0.369000
0.430000, 0.370500
0.431000, 0.371500
0.432000, 0.373900
0.433000, 0.375700
0.434000, 0.376600
0.435000, 0.378600
0.436000, 0.380500
0.437000, 0.382600
0.438000, 0.384800
0.439000, 0.386200
0.440000, 0.388500
0.441000, 0.390400
0.442000, 0.391800
0.443000, 0.394000
0.444000, 0.395800
0.445000, 0.397700
0.446000, 0.400000
0.447000, 0.401400
0.448000, 0.403800
0.449000, 0.406000
0.450000, 0.407100
0.451000, 0.408200
0.452000, 0.409500
0.453000, 0.411300
0.454000, 0.412800
0.455000, 0.414300
0.456000, 0.416100
0.457000, 0.418100
0.458000, 0.419000
0.459000, 0.420100
0.460000, 0.421300
0.461000, 0.423500
0.462000, 0.424600
0.463000, 0.425700
0.464000, 0.428100
0.465000, 0.430100
0.466000, 0.431500
0.467000, 0.433100
0.468000, 0.434200
0.469000, 0.436000
0.470000, 0.436900
0.471000, 0.437700
0.472000, 0.439700
0.473000, 0.441300
0.474000, 0.443100
0.475000, 0.445300
0.476000, 0.447100
0.477000, 0.449100
0.478000, 0.449800
0.479000, 0.451300
0.480000, 0.452900
0.481000, 0.455100
0.482000, 0.457000
0.483000, 0.458100
0.484000, 0.460700
0.485000, 0.461700
0.486000, 0.463300
0.487000, 0.464000
0.488000, 0.464900
0.489000, 0.466600
0.490000, 0.469300
0.491000, 0.470800
0.492000, 0.472800
0.493000, 0.474600
0.494000, 0.476000
0.495000, 0.477600
0.496000, 0.478800
0.497000, 0.480300
0.498000, 0.481900
0.499000, 0.484100
0.500000, 0.485800
0.501000, 0.487400
0.502000, 0.488500
0.503000, 0.491100
0.504000, 0.493000
0.505000, 0.495000
0.506000, 0.497100
0.507000, 0.498900
0.508000, 0.500900
0.509000, 0.502800
0.510000, 0.504100
0.511000, 0.506200
0.512000, 0.508800
0.513000, 0.510300
0.514000, 0.511800
0.515000, 0.513500
0.516000, 0.515500
0.517000, 0.517100
0.518000, 0.517800
0.519000, 0.519700
0.520000, 0.520900
0.521000, 0.521600
0.522000, 0.522800
0.523000, 0.524800
0.524000, 0.526800
0.525000, 0.528100
0.526000, 0.530000
0.527000, 0.532400
0.528000, 0.533000
0.529000, 0.534400
0.530000, 0.535800
0.531000, 0.537700
0.532000, 0.540600
0.533000, 0.541200
0.534000, 0.542200
0.535000, 0.543600
0.536000, 0.545800
0.537000, 0.548200
0.538000, 0.549400
0.539000, 0.551300
0.540000, 0.553300
0.541000, 0.555700
0.542000, 0.556400
0.543000, 0.558200
0.544000, 0.559600
0.545000, 0.560500
0.546000, 0.562800
0.547000, 0.563800
0.548000, 0.565400
0.549000, 0.567600
0.550000, 0.569300
0.551000, 0.570400
0.552000, 0.571700
0.553000, 0.573800
0.554000, 0.575100
0.555000, 0.575900
0.556000, 0.577600
0.557000, 0.580200
0.558000, 0.581700
0.559000, 0.583400
0.560000, 0.584800
0.561000, 0.586200
