sheet,distribution
321,2.4676E-140
322,9.0777E-141
323,3.3395E-141
324,1.2285E-141
325,4.5195E-142
326,1.6626E-142
327,6.1165E-143
328,2.2501E-143
329,8.2778E-144
330,3.0452E-144
331,1.1203E-144
332,4.1213E-145
333,1.5161E-145
334,5.5775E-146
335,2.0519E-146
336,7.5484E-147
337,2.7769E-147
338,1.0216E-147
339,3.7581E-148
340,1.3825E-148
341,5.0861E-149
342,1.8711E-149
343,6.8832E-150
344,2.5322E-150
345,9.3154E-151
346,3.427E-151
347,1.2607E-151
348,4.6379E-152
349,1.7062E-152
350,6.2767E-153
351,2.3091E-153
352,8.4946E-154
353,3.125E-154
354,1.1496E-154
355,4.2292E-155
356,1.5558E-155
357,5.7236E-156
358,2.1056E-156
359,7.7461E-157
360,2.8496E-157
361,1.0483E-157
362,3.8565E-158
363,1.4187E-158
364,5.2193E-159
365,1.9201E-159
366,7.0635E-160
367,2.5985E-160
368,9.5594E-161
369,3.5167E-161
370,1.2937E-161
371,4.7593E-162
372,1.7509E-162
373,6.4411E-163
374,2.3695E-163
375,8.717E-164
376,3.2068E-164
377,1.1797E-164
378,4.34E-165
379,1.5966E-165
380,5.8735E-166
381,2.1607E-166
382,7.9489E-167
383,2.9242E-167
384,1.0758E-167
385,3.9575E-168
386,1.4559E-168
387,5.3559E-169
388,1.9703E-169
389,7.2485E-170
390,2.6666E-170
391,9.8097E-171
392,3.6088E-171
393,1.3276E-171
394,4.884E-172
395,1.7967E-172
396,6.6098E-173
397,2.4316E-173
398,8.9453E-174
399,3.2908E-174
400,1.2106E-174
401,4.4536E-175
402,1.6384E-175
403,6.0273E-176
404,2.2173E-176
405,8.1571E-177
406,3.0008E-177
407,1.1039E-177
408,4.0612E-178
409,1.494E-178
410,5.4962E-179
411,2.0219E-179
412,7.4383E-180
413,2.7364E-180
414,1.0067E-180
415,3.7033E-181
416,1.3624E-181
417,5.0119E-182
418,1.8438E-182
419,6.7828E-183
420,2.4953E-183
421,9.1796E-184
422,3.377E-184
423,1.2423E-184
424,4.5702E-185
425,1.6813E-185
426,6.1852E-186
427,2.2754E-186
428,8.3707E-187
429,3.0794E-187
430,1.1329E-187
431,4.1675E-188
432,1.5331E-188
433,5.6401E-189
434,2.0749E-189
435,7.6331E-190
436,2.8081E-190
437,1.033E-190
438,3.8003E-191
439,1.398E-191
440,5.1431E-192
441,1.8921E-192
442,6.9605E-193
443,2.5606E-193
444,9.42E-194
445,3.4654E-194
446,1.2749E-194
447,4.6899E-195
448,1.7253E-195
449,6.3471E-196
450,2.335E-196
451,8.5899E-197
452,3.1601E-197
453,1.1625E-197
454,4.2767E-198
455,1.5733E-198
456,5.7878E-199
457,2.1292E-199
458,7.833E-200
459,2.8816E-200
460,1.0601E-200
461,3.8998E-201
462,1.4347E-201
463,5.2778E-202
464,1.9416E-202
465,7.1428E-203
466,2.6277E-203
467,9.6667E-204
468,3.5562E-204
469,1.3082E-204
470,4.8128E-205
471,1.7705E-205
472,6.5134E-206
473,2.3961E-206
474,8.8149E-207
475,3.2428E-207
476,1.193E-207
477,4.3887E-208
478,1.6145E-208
479,5.9394E-209
480,2.185E-209
481,8.0381E-210
482,2.9571E-210
483,1.0878E-210
484,4.0019E-211
485,1.4722E-211
486,5.416E-212
487,1.9924E-212
488,7.3298E-213
489,2.6965E-213
490,9.9198E-214
491,3.6493E-214
492,1.3425E-214
