distribution,time,sheets,id,friends,surplus,purchased,agents,full_agents,stage
uniform,147,100,43,63,90,,50,37,exchange
uniform,148,100,47,35,97,,50,38,exchange
uniform,147,100,43,63,90,,50,37,exchange
exponential,562,50,15,30,529,,30,21,buy
exponential,163,50,32,54,140,,50,12,exchange
uniform,148,100,47,35,97,,50,38,exchange
uniform,151,100,41,55,96,,50,39,buy
exponential,163,50,32,54,140,,50,12,exchange
uniform,151,100,41,55,96,,50,39,buy
uniform,158,100,30,35,101,,50,40,buy
uniform,158,100,30,35,101,,50,40,buy
exponential,640,50,12,11,602,,30,22,buy
exponential,465,50,16,29,437,,30,19,buy
exponential,180,50,44,48,153,,50,13,buy
uniform,170,100,5,42,113,,50,41,buy
exponential,658,50,22,17,625,,30,23,buy
exponential,180,50,44,48,153,,50,13,buy
uniform,170,100,5,42,113,,50,41,buy
exponential,670,50,13,15,642,,30,24,buy
uniform,177,100,44,48,114,,50,42,buy
exponential,682,50,27,35,653,,30,25,buy
uniform,177,100,44,48,114,,50,42,buy
exponential,710,50,0,30,688,,30,26,buy
exponential,517,50,29,14,483,,30,20,buy
exponential,751,50,23,18,722,,30,27,buy
exponential,10359,700,0,0,9660,,2,1,buy
exponential,10378,700,1,2,9679,,2,2,buy
uniform,193,100,28,32,144,,50,44,exchange
exponential,562,50,15,30,529,,30,21,buy
uniform,194,100,25,27,136,,50,45,buy
exponential,202,50,40,56,170,,50,15,exchange
uniform,652,100,22,17,597,,30,29,buy
uniform,193,100,28,32,144,,50,44,exchange
uniform,194,100,25,27,136,,50,45,buy
exponential,215,100,4,28,164,,30,1,buy
exponential,202,50,40,56,170,,50,15,exchange
exponential,227,100,24,34,173,,30,3,exchange
exponential,1640,200,2,8,1502,,10,6,buy
exponential,640,50,12,11,602,,30,22,buy
exponential,1640,200,2,8,1502,,10,6,buy
uniform,221,100,22,25,170,,50,46,buy
exponential,658,50,22,17,625,,30,23,buy
exponential,1719,200,4,2,1572,,10,7,buy
exponential,670,50,13,15,642,,30,24,buy
exponential,497,200,1,24,405,,20,1,exchange
exponential,682,50,27,35,653,,30,25,buy
exponential,245,100,15,30,195,,30,4,buy
exponential,225,50,3,35,198,,50,16,buy
exponential,1761,200,3,7,1643,,10,8,buy
exponential,1719,200,4,2,1572,,10,7,buy
exponential,248,100,9,34,201,,30,5,exchange
exponential,249,100,26,20,193,,30,6,buy
exponential,228,50,48,74,200,,50,17,buy
uniform,221,100,22,25,170,,50,46,buy
exponential,225,50,3,35,198,,50,16,buy
exponential,1761,200,3,7,1643,,10,8,buy
exponential,710,50,0,30,688,,30,26,buy
uniform,235,100,27,53,185,,50,47,buy
exponential,228,50,48,74,200,,50,17,buy
exponential,962,50,7,30,938,,30,28,buy
uniform,652,100,22,17,597,,30,29,buy
exponential,966,50,1,23,940,,30,29,buy
exponential,233,50,17,60,201,,50,18,buy
uniform,240,100,29,35,181,,50,48,buy
exponential,262,100,16,29,208,,30,7,exchange
exponential,3252,400,2,0,2853,,5,1,buy
exponential,233,50,17,60,201,,50,18,buy
exponential,751,50,23,18,722,,30,27,buy
uniform,244,100,45,34,184,,50,49,buy
exponential,238,50,12,49,213,,50,19,buy
uniform,789,100,13,15,726,,30,30,buy
exponential,522,200,3,29,421,,20,2,exchange
uniform,235,100,27,53,185,,50,47,buy
exponential,238,50,12,49,213,,50,19,buy
uniform,240,100,29,35,181,,50,48,buy
exponential,248,50,5,42,220,,50,20,buy
uniform,244,100,45,34,184,,50,49,buy
exponential,248,50,5,42,220,,50,20,buy
exponential,3619,400,1,2,3220,,5,2,buy
exponential,1114,50,6,14,1081,,30,30,buy
exponential,558,200,0,26,470,,20,3,exchange
exponential,268,50,20,53,246,,50,21,buy
exponential,269,50,21,66,244,,50,23,buy
exponential,273,50,30,35,245,,50,24,buy
exponential,274,50,46,44,245,,50,25,buy
exponential,268,50,20,53,246,,50,21,buy
exponential,269,50,21,66,244,,50,23,buy
uniform,789,100,13,15,726,,30,30,buy
exponential,962,50,7,30,938,,30,28,buy
exponential,966,50,1,23,940,,30,29,buy
exponential,273,50,30,35,245,,50,24,buy
exponential,274,50,46,44,245,,50,25,buy
exponential,323,100,3,41,272,,30,8,buy
exponential,4224,400,0,8,3825,,5,3,buy
exponential,303,50,49,67,274,,50,27,exchange
exponential,1114,50,6,14,1081,,30,30,buy
exponential,303,50,49,67,274,,50,27,exchange
exponential,5012,400,3,2,4613,,5,4,buy
exponential,5311,400,4,0,4912,,5,5,buy
uniform,3985,700,3,2,3286,,5,1,buy
exponential,332,50,36,67,306,,50,28,buy
exponential,332,50,36,67,306,,50,28,buy
uniform,4146,700,4,0,3447,,5,2,buy
exponential,3472,200,6,1,3305,,10,9,buy
exponential,408,100,18,27,355,,30,10,exchange
exponential,412,100,7,30,359,,30,11,buy
exponential,416,100,1,23,366,,30,12,buy
exponential,227,100,32,54,171,,50,2,exchange
exponential,702,200,8,22,596,,20,4,exchange
exponential,705,200,18,22,602,,20,5,buy
exponential,364,50,4,65,335,,50,29,buy
exponential,229,100,13,51,181,,50,3,exchange
exponential,3472,200,6,1,3305,,10,9,buy
exponential,434,100,5,26,391,,30,13,buy
exponential,364,50,4,65,335,,50,29,buy
uniform,425,100,31,13,359,,50,50,buy
uniform,4678,700,1,2,3979,,5,3,buy
exponential,733,200,16,13,628,,20,6,exchange
exponential,236,100,17,60,186,,50,4,exchange
exponential,389,50,6,56,362,,50,30,buy
exponential,392,50,25,27,362,,50,31,buy
exponential,389,50,6,56,362,,50,30,buy
uniform,121,100,1,24,69,,20,1,exchange
uniform,130,100,7,17,82,,20,3,exchange
exponential,392,50,25,27,362,,50,31,buy
uniform,140,100,5,25,85,,20,4,exchange
uniform,142,100,13,23,91,,20,5,exchange
uniform,146,100,8,22,93,,20,6,exchange
exponential,479,100,10,41,423,,30,14,buy
uniform,152,100,14,21,107,,20,7,exchange
uniform,162,100,0,26,111,,20,8,exchange
uniform,176,100,18,22,132,,20,10,exchange
uniform,425,100,31,13,359,,50,50,buy
exponential,246,100,0,71,201,,50,5,exchange
uniform,191,100,12,14,136,,20,11,exchange
exponential,247,100,26,52,187,,50,6,exchange
uniform,206,100,11,19,155,,20,12,buy
uniform,217,100,19,13,155,,20,13,buy
uniform,230,100,9,11,170,,20,14,buy
exponential,428,50,28,32,398,,50,32,buy
uniform,281,100,17,9,216,,20,15,buy
uniform,296,100,15,16,242,,20,16,buy
uniform,5252,700,0,8,4553,,5,4,buy
uniform,5292,700,2,0,4593,,5,5,buy
exponential,254,100,21,66,200,,50,7,exchange
uniform,341,100,16,13,294,,20,17,buy
exponential,428,50,28,32,398,,50,32,buy
exponential,524,100,20,29,467,,30,15,buy
uniform,3985,700,3,2,3286,,5,1,buy
uniform,372,100,10,4,311,,20,18,buy
uniform,375,100,4,6,324,,20,19,buy
exponential,832,200,2,13,721,,20,7,exchange
exponential,542,100,27,35,490,,30,16,buy
uniform,4146,700,4,0,3447,,5,2,buy
uniform,592,100,2,13,539,,20,20,buy
exponential,877,200,5,25,776,,20,8,exchange
exponential,454,200,5,26,359,,30,1,exchange
exponential,471,50,38,64,446,,50,33,buy
exponential,5517,200,1,12,5395,,10,10,buy
exponential,471,50,38,64,446,,50,33,buy
exponential,901,200,12,14,788,,20,9,exchange
exponential,486,50,29,35,456,,50,34,buy
exponential,594,100,22,17,528,,30,17,buy
exponential,465,200,3,41,361,,30,2,exchange
exponential,910,200,15,16,797,,20,10,exchange
uniform,4678,700,1,2,3979,,5,3,buy
exponential,492,50,23,44,463,,50,35,buy
exponential,486,50,29,35,456,,50,34,buy
exponential,497,50,10,53,472,,50,36,buy
exponential,492,50,23,44,463,,50,35,buy
exponential,497,50,10,53,472,,50,36,buy
exponential,621,100,19,48,570,,30,19,exchange
exponential,508,50,42,66,478,,50,37,buy
exponential,508,50,42,66,478,,50,37,buy
exponential,516,50,15,52,487,,50,38,buy
exponential,1623,400,8,9,1394,,10,1,buy
exponential,516,50,15,52,487,,50,38,buy
exponential,5517,200,1,12,5395,,10,10,buy
exponential,538,50,18,48,509,,50,39,buy
exponential,289,100,43,63,247,,50,10,exchange
exponential,675,100,28,28,626,,30,20,buy
exponential,541,50,43,63,514,,50,40,buy
exponential,538,50,18,48,509,,50,39,buy
exponential,541,50,43,63,514,,50,40,buy
exponential,1017,200,14,21,909,,20,11,exchange
uniform,5252,700,0,8,4553,,5,4,buy
uniform,5292,700,2,0,4593,,5,5,buy
exponential,563,50,24,72,537,,50,41,buy
exponential,563,50,24,72,537,,50,41,buy
exponential,577,50,47,35,550,,50,42,buy
exponential,577,50,47,35,550,,50,42,buy
exponential,744,100,8,39,696,,30,21,buy
exponential,306,100,46,44,245,,50,12,exchange
exponential,747,100,21,22,685,,30,22,exchange
exponential,616,50,31,13,581,,50,43,buy
exponential,616,50,31,13,581,,50,43,buy
exponential,1816,400,0,9,1600,,10,2,exchange
exponential,326,100,37,56,270,,50,13,exchange
exponential,543,200,10,41,440,,30,3,exchange
exponential,671,50,9,38,645,,50,44,buy
exponential,893,100,6,14,834,,30,23,buy
exponential,671,50,9,38,645,,50,44,buy
exponential,1222,200,19,13,1099,,20,13,exchange
exponential,336,100,34,56,280,,50,14,exchange
uniform,1489,700,5,14,1102,,10,1,exchange
exponential,1952,400,7,9,1704,,10,4,exchange
uniform,1491,700,8,9,1116,,10,2,exchange
exponential,1264,200,4,6,1141,,20,14,buy
exponential,343,100,36,67,291,,50,15,exchange
exponential,567,200,16,29,455,,30,4,buy
exponential,18677,1400,0,0,17278,,2,1,buy
exponential,973,100,25,22,922,,30,24,buy
exponential,573,200,4,28,473,,30,5,exchange
uniform,1489,700,5,14,1102,,10,1,exchange
uniform,1491,700,8,9,1116,,10,2,exchange
exponential,1031,100,14,17,975,,30,25,buy
exponential,1325,200,13,23,1213,,20,15,exchange
exponential,354,100,38,64,301,,50,16,buy
exponential,764,50,35,68,734,,50,45,buy
exponential,764,50,35,68,734,,50,45,buy
exponential,361,100,6,56,312,,50,17,exchange
exponential,2135,400,9,9,1887,,10,5,buy
exponential,2150,400,3,7,1917,,10,6,buy
exponential,1093,100,13,15,1035,,30,26,buy
exponential,365,100,5,42,314,,50,19,exchange
exponential,803,50,26,52,776,,50,46,buy
exponential,803,50,26,52,776,,50,46,buy
exponential,1507,200,17,9,1377,,20,16,buy
exponential,1188,100,29,14,1123,,30,27,buy
uniform,1698,700,2,8,1291,,10,3,exchange
exponential,875,50,14,30,852,,50,47,buy
exponential,387,100,1,66,342,,50,20,exchange
exponential,1559,200,9,11,1438,,20,17,buy
uniform,1698,700,2,8,1291,,10,3,exchange
exponential,392,100,39,76,341,,50,21,exchange
exponential,875,50,14,30,852,,50,47,buy
exponential,1636,200,10,4,1505,,20,18,buy
exponential,2607,400,1,12,2380,,10,7,buy
exponential,423,100,11,34,368,,50,22,buy
exponential,661,200,28,28,545,,30,6,exchange
uniform,1873,700,3,7,1467,,10,4,buy
exponential,995,50,11,34,964,,50,48,buy
exponential,995,50,11,34,964,,50,48,buy
exponential,435,100,48,74,387,,50,23,buy
exponential,23240,1400,1,2,21841,,2,2,buy
uniform,1873,700,3,7,1467,,10,4,buy
exponential,681,200,22,17,574,,30,7,buy
exponential,442,100,7,61,385,,50,24,buy
exponential,1077,50,7,61,1046,,50,49,buy
exponential,447,100,44,48,391,,50,26,exchange
exponential,1537,100,11,28,1488,,30,28,buy
exponential,1077,50,7,61,1046,,50,49,buy
exponential,458,100,24,72,406,,50,27,buy
exponential,466,100,18,48,417,,50,28,exchange
exponential,713,200,24,34,598,,30,9,exchange
uniform,2088,700,0,9,1727,,10,5,exchange
uniform,2088,700,0,9,1727,,10,5,exchange
exponential,734,200,1,23,623,,30,10,exchange
exponential,1716,100,23,18,1650,,30,29,buy
exponential,490,100,19,33,436,,50,29,exchange
exponential,1229,50,39,76,1201,,50,50,buy
exponential,500,100,23,44,439,,50,30,buy
exponential,95,50,17,9,61,,20,1,buy
exponential,104,50,3,29,79,,20,2,buy
exponential,112,50,0,26,88,,20,3,exchange
exponential,126,50,1,24,104,,20,4,exchange
exponential,136,50,16,13,116,,20,5,exchange
exponential,148,50,4,6,121,,20,6,exchange
exponential,153,50,11,19,117,,20,7,buy
exponential,1229,50,39,76,1201,,50,50,buy
exponential,768,200,25,22,653,,30,11,buy
exponential,515,100,41,55,464,,50,31,buy
exponential,215,50,6,11,188,,20,8,buy
exponential,242,50,12,14,212,,20,9,buy
exponential,1880,100,12,11,1814,,30,30,buy
exponential,297,50,2,13,272,,20,10,buy
exponential,315,50,14,21,287,,20,14,exchange
exponential,316,50,13,23,285,,20,15,buy
exponential,344,50,19,13,314,,20,16,buy
exponential,360,200,4,65,264,,50,1,exchange
exponential,552,50,18,22,524,,20,17,buy
exponential,671,50,15,16,642,,20,18,buy
exponential,454,200,5,26,359,,30,1,exchange
exponential,811,200,2,15,701,,30,12,exchange
exponential,552,100,16,72,500,,50,32,buy
exponential,793,50,9,11,758,,20,19,buy
exponential,554,100,42,66,495,,50,33,buy
exponential,813,200,15,30,711,,30,13,exchange
exponential,2532,200,11,19,2422,,20,19,buy
exponential,2555,200,7,17,2446,,20,20,buy
exponential,966,50,5,25,940,,20,20,buy
exponential,465,200,3,41,361,,30,2,exchange
exponential,360,200,4,65,264,,50,1,exchange
exponential,8353,700,1,2,7654,,5,1,buy
exponential,8425,700,2,0,7726,,5,2,buy
exponential,8625,700,4,0,7926,,5,3,buy
exponential,593,100,22,25,532,,50,34,buy
uniform,2660,700,7,9,2245,,10,6,buy
exponential,8904,700,3,2,8205,,5,4,buy
exponential,4120,400,5,14,3910,,10,8,buy
exponential,4180,400,4,2,3902,,10,9,buy
exponential,614,100,49,67,563,,50,36,exchange
uniform,2660,700,7,9,2245,,10,6,buy
uniform,2734,700,9,9,2326,,10,7,buy
uniform,2734,700,9,9,2326,,10,7,buy
exponential,632,100,28,32,574,,50,37,buy
exponential,543,200,10,41,440,,30,3,exchange
exponential,395,200,2,57,289,,50,2,exchange
uniform,2946,700,1,12,2568,,10,8,buy
uniform,878,700,1,24,532,,20,1,exchange
exponential,567,200,16,29,455,,30,4,buy
exponential,573,200,4,28,473,,30,5,exchange
uniform,2946,700,1,12,2568,,10,8,buy
exponential,395,200,2,57,289,,50,2,exchange
exponential,690,100,31,13,631,,50,38,buy
exponential,691,100,20,53,644,,50,39,buy
exponential,5154,400,6,1,4823,,10,10,buy
uniform,3337,700,6,1,2794,,10,9,buy
uniform,3337,700,6,1,2794,,10,9,buy
exponential,1044,200,17,37,932,,30,14,exchange
exponential,661,200,28,28,545,,30,6,exchange
exponential,1065,200,13,15,948,,30,15,buy
exponential,681,200,22,17,574,,30,7,buy
exponential,1088,200,23,18,976,,30,16,buy
exponential,833,100,35,68,784,,50,40,buy
exponential,12495,700,0,8,11796,,5,5,buy
exponential,1109,200,27,35,1001,,30,17,buy
uniform,991,700,3,29,626,,20,2,exchange
exponential,713,200,24,34,598,,30,9,exchange
exponential,1123,200,18,27,1009,,30,18,buy
exponential,868,100,45,34,813,,50,41,buy
exponential,734,200,1,23,623,,30,10,exchange
exponential,1149,200,21,22,1028,,30,19,exchange
uniform,4227,700,4,2,3725,,10,10,buy
uniform,4227,700,4,2,3725,,10,10,buy
exponential,768,200,25,22,653,,30,11,buy
exponential,811,200,2,15,701,,30,12,exchange
uniform,1066,700,0,26,727,,20,3,exchange
exponential,813,200,15,30,711,,30,13,exchange
exponential,969,100,27,53,913,,50,42,buy
exponential,978,100,15,52,928,,50,43,buy
exponential,2752,700,0,9,2381,,10,1,buy
exponential,1003,100,30,35,950,,50,44,buy
exponential,494,200,8,48,384,,50,3,exchange
exponential,494,200,8,48,384,,50,3,exchange
uniform,1115,700,14,21,786,,20,4,exchange
uniform,1121,700,13,23,761,,20,5,buy
exponential,1055,100,14,30,992,,50,45,buy
uniform,1130,700,18,22,762,,20,6,exchange
exponential,1398,200,26,20,1289,,30,20,buy
uniform,1228,700,8,22,861,,20,7,buy
exponential,1529,200,9,34,1432,,30,22,exchange
exponential,1210,100,47,35,1150,,50,46,buy
exponential,1044,200,17,37,932,,30,14,exchange
uniform,1254,700,5,25,901,,20,8,buy
exponential,3123,700,3,7,2736,,10,2,buy
exponential,1065,200,13,15,948,,30,15,buy
exponential,3165,700,2,8,2770,,10,3,buy
exponential,1088,200,23,18,976,,30,16,buy
exponential,3207,700,5,14,2843,,10,4,buy
exponential,1109,200,27,35,1001,,30,17,buy
exponential,1123,200,18,27,1009,,30,18,buy
exponential,1149,200,21,22,1028,,30,19,exchange
exponential,1695,200,6,14,1583,,30,23,buy
uniform,1356,700,12,14,973,,20,9,buy
exponential,1754,200,11,28,1645,,30,24,buy
exponential,1844,200,8,39,1738,,30,25,buy
exponential,3651,700,8,9,3263,,10,5,buy
uniform,1443,700,15,16,1064,,20,10,buy
exponential,611,200,0,71,518,,50,4,exchange
uniform,1470,700,16,13,1068,,20,11,buy
exponential,611,200,0,71,518,,50,4,exchange
exponential,1398,200,26,20,1289,,30,20,buy
uniform,1514,700,11,19,1147,,20,12,exchange
exponential,3925,700,9,9,3503,,10,7,exchange
exponential,633,200,35,68,533,,50,5,buy
exponential,2116,200,12,11,2003,,30,26,buy
exponential,633,200,35,68,533,,50,5,buy
exponential,1529,200,9,34,1432,,30,22,exchange
exponential,653,200,49,67,547,,50,6,exchange
exponential,653,200,49,67,547,,50,6,exchange
exponential,2334,200,19,48,2231,,30,27,buy
uniform,878,700,3,41,523,,30,1,exchange
exponential,1695,200,6,14,1583,,30,23,buy
exponential,685,200,6,56,578,,50,7,buy
exponential,1754,200,11,28,1645,,30,24,buy
exponential,1866,100,29,35,1810,,50,47,buy
exponential,685,200,6,56,578,,50,7,buy
exponential,704,200,32,54,592,,50,8,buy
exponential,1844,200,8,39,1738,,30,25,buy
exponential,2643,200,14,17,2531,,30,28,buy
exponential,704,200,32,54,592,,50,8,buy
uniform,1884,700,7,17,1513,,20,13,buy
exponential,723,200,43,63,613,,50,9,buy
exponential,726,200,39,76,615,,50,10,exchange
uniform,1908,700,6,11,1523,,20,14,buy
exponential,737,200,46,44,633,,50,11,exchange
exponential,738,200,21,66,643,,50,12,buy
exponential,2809,200,29,14,2684,,30,29,buy
exponential,5466,700,1,12,5069,,10,8,buy
exponential,723,200,43,63,613,,50,9,buy
uniform,943,700,19,48,570,,30,2,exchange
exponential,726,200,39,76,615,,50,10,exchange
exponential,2082,100,25,27,2027,,50,48,buy
uniform,950,700,7,30,599,,30,3,exchange
exponential,737,200,46,44,633,,50,11,exchange
exponential,2116,200,12,11,2003,,30,26,buy
exponential,738,200,21,66,643,,50,12,buy
exponential,762,200,38,64,651,,50,14,exchange
exponential,763,200,13,51,659,,50,15,exchange
exponential,772,200,17,60,672,,50,16,exchange
exponential,774,200,16,72,674,,50,17,exchange
uniform,982,700,16,29,611,,30,4,buy
exponential,762,200,38,64,651,,50,14,exchange
exponential,763,200,13,51,659,,50,15,exchange
exponential,772,200,17,60,672,,50,16,exchange
exponential,2334,200,19,48,2231,,30,27,buy
exponential,774,200,16,72,674,,50,17,exchange
exponential,813,200,45,34,702,,50,19,exchange
exponential,3361,200,20,29,3262,,30,30,buy
exponential,824,200,41,55,717,,50,20,buy
exponential,830,200,23,44,729,,50,21,exchange
exponential,813,200,45,34,702,,50,19,exchange
exponential,845,200,19,33,733,,50,22,buy
uniform,1045,700,11,28,696,,30,5,exchange
uniform,1046,700,5,26,675,,30,6,exchange
exponential,824,200,41,55,717,,50,20,buy
exponential,850,200,34,56,749,,50,23,exchange
exponential,2643,200,14,17,2531,,30,28,buy
uniform,1053,700,9,34,685,,30,7,exchange
exponential,830,200,23,44,729,,50,21,exchange
uniform,1063,700,10,41,708,,30,8,exchange
exponential,845,200,19,33,733,,50,22,buy
exponential,850,200,34,56,749,,50,23,exchange
exponential,875,200,5,42,774,,50,24,exchange
exponential,2809,200,29,14,2684,,30,29,buy
exponential,887,200,15,52,783,,50,25,buy
exponential,895,200,20,53,788,,50,26,buy
exponential,875,200,5,42,774,,50,24,exchange
uniform,1112,700,15,30,751,,30,9,exchange
exponential,887,200,15,52,783,,50,25,buy
exponential,915,200,22,25,797,,50,27,buy
exponential,13861,1400,1,2,12462,,5,1,buy
exponential,920,200,37,56,815,,50,29,exchange
exponential,895,200,20,53,788,,50,26,buy
uniform,1123,700,4,28,754,,30,10,exchange
exponential,915,200,22,25,797,,50,27,buy
exponential,920,200,37,56,815,,50,29,exchange
uniform,1155,700,8,39,797,,30,11,buy
uniform,1164,700,17,37,798,,30,13,exchange
uniform,1166,700,27,35,790,,30,14,exchange
exponential,3361,200,20,29,3262,,30,30,buy
exponential,982,200,9,38,878,,50,30,buy
exponential,2953,100,12,49,2896,,50,49,buy
exponential,1055,400,10,41,853,,30,1,exchange
exponential,982,200,9,38,878,,50,30,buy
exponential,1011,200,30,35,900,,50,32,exchange
exponential,1021,200,24,72,920,,50,33,buy
uniform,1223,700,28,28,870,,30,16,exchange
exponential,1011,200,30,35,900,,50,32,exchange
exponential,1021,200,24,72,920,,50,33,buy
uniform,878,700,3,41,523,,30,1,exchange
uniform,3091,700,9,11,2690,,20,15,buy
exponential,1082,200,42,66,969,,50,34,buy
exponential,1120,400,5,26,912,,30,2,exchange
exponential,16562,1400,3,2,15163,,5,2,buy
exponential,1089,200,10,53,977,,50,35,buy
exponential,1111,200,25,27,1005,,50,36,buy
exponential,1082,200,42,66,969,,50,34,buy
exponential,1089,200,10,53,977,,50,35,buy
exponential,11052,700,4,2,10569,,10,9,buy
exponential,1111,200,25,27,1005,,50,36,buy
exponential,1155,200,36,67,1041,,50,37,buy
uniform,3608,700,2,13,3235,,20,16,buy
uniform,943,700,19,48,570,,30,2,exchange
exponential,3492,100,33,67,3431,,50,50,buy
uniform,950,700,7,30,599,,30,3,exchange
uniform,1369,700,23,18,970,,30,17,buy
uniform,3660,700,10,4,3186,,20,17,buy
exponential,1155,200,36,67,1041,,50,37,buy
exponential,12389,700,6,1,11816,,10,10,buy
exponential,240,100,0,26,193,,20,1,exchange
exponential,280,100,8,22,223,,20,2,exchange
exponential,283,100,7,17,232,,20,3,exchange
exponential,331,100,3,29,267,,20,4,exchange
exponential,338,100,5,25,291,,20,5,buy
exponential,341,100,6,11,283,,20,6,buy
exponential,386,100,12,14,333,,20,7,exchange
exponential,412,100,18,22,357,,20,8,exchange
uniform,1409,700,1,23,1033,,30,18,exchange
uniform,982,700,16,29,611,,30,4,buy
exponential,437,100,16,13,386,,20,9,buy
uniform,1413,700,22,17,1027,,30,20,exchange
exponential,515,100,1,24,467,,20,10,buy
exponential,537,100,11,19,481,,20,11,buy
uniform,3812,700,17,9,3365,,20,18,buy
exponential,594,100,13,23,542,,20,12,buy
exponential,597,100,19,13,533,,20,13,exchange
exponential,19017,1400,0,8,17618,,5,3,buy
exponential,635,100,10,4,574,,20,14,buy
exponential,703,100,17,9,638,,20,15,buy
exponential,1248,200,47,35,1139,,50,38,buy
exponential,1251,400,16,29,1040,,30,3,exchange
exponential,806,100,14,21,757,,20,17,exchange
exponential,904,100,15,16,853,,20,18,buy
exponential,1269,200,48,74,1161,,50,40,exchange
exponential,1267,400,17,37,1060,,30,4,exchange
exponential,1191,100,9,11,1129,,20,19,buy
exponential,1248,200,47,35,1139,,50,38,buy
exponential,1269,200,48,74,1161,,50,40,exchange
uniform,1045,700,11,28,696,,30,5,exchange
uniform,1046,700,5,26,675,,30,6,exchange
exponential,2143,100,4,6,2083,,20,20,buy
uniform,1053,700,9,34,685,,30,7,exchange
uniform,1063,700,10,41,708,,30,8,exchange
exponential,1360,200,3,35,1258,,50,42,exchange
exponential,1330,400,7,30,1130,,30,6,exchange
uniform,1582,700,24,34,1205,,30,21,buy
uniform,1584,700,2,15,1204,,30,22,buy
exponential,1360,200,3,35,1258,,50,42,exchange
exponential,24155,1400,4,0,22756,,5,4,buy
exponential,1403,200,26,52,1299,,50,43,buy
exponential,1420,200,12,49,1314,,50,44,buy
uniform,1112,700,15,30,751,,30,9,exchange
uniform,1123,700,4,28,754,,30,10,exchange
uniform,1723,700,14,17,1343,,30,23,buy
exponential,1403,200,26,52,1299,,50,43,buy
exponential,1420,200,12,49,1314,,50,44,buy
exponential,26365,1400,2,0,24966,,5,5,buy
uniform,4463,700,19,13,4037,,20,19,buy
uniform,1155,700,8,39,797,,30,11,buy
uniform,1164,700,17,37,798,,30,13,exchange
uniform,1166,700,27,35,790,,30,14,exchange
exponential,1534,200,11,34,1423,,50,45,buy
uniform,4913,700,4,6,4506,,20,20,buy
exponential,1534,200,11,34,1423,,50,45,buy
uniform,2008,700,13,15,1631,,30,24,buy
uniform,1223,700,28,28,870,,30,16,exchange
uniform,2056,700,6,14,1658,,30,25,buy
exponential,1493,400,9,34,1289,,30,7,exchange
exponential,1506,400,23,18,1295,,30,8,buy
exponential,1654,200,18,48,1554,,50,46,buy
exponential,1654,200,18,48,1554,,50,46,buy
exponential,1592,400,1,23,1402,,30,9,exchange
exponential,940,400,8,48,739,,50,1,exchange
uniform,1369,700,23,18,970,,30,17,buy
exponential,1634,400,4,28,1438,,30,10,exchange
exponential,961,400,4,65,760,,50,2,buy
exponential,1656,400,25,22,1436,,30,11,exchange
exponential,1662,400,24,34,1443,,30,12,exchange
uniform,1409,700,1,23,1033,,30,18,exchange
uniform,1413,700,22,17,1027,,30,20,exchange
uniform,2645,700,12,11,2246,,30,26,buy
exponential,1922,200,14,30,1817,,50,47,buy
exponential,1715,400,27,35,1487,,30,13,buy
exponential,1922,200,14,30,1817,,50,47,buy
exponential,1755,400,11,28,1577,,30,14,exchange
exponential,1776,400,20,29,1567,,30,15,buy
uniform,3052,700,26,20,2687,,30,28,exchange
exponential,1082,400,6,56,887,,50,3,exchange
uniform,1582,700,24,34,1205,,30,21,buy
uniform,1584,700,2,15,1204,,30,22,buy
exponential,1895,400,15,30,1700,,30,16,exchange
exponential,1103,400,2,57,909,,50,4,exchange
exponential,1105,400,11,34,899,,50,5,exchange
exponential,1110,400,12,49,896,,50,6,exchange
exponential,1114,400,14,30,910,,50,7,exchange
exponential,1928,400,19,48,1725,,30,17,exchange
exponential,1937,400,2,15,1726,,30,18,buy
uniform,3299,700,21,22,2918,,30,29,buy
exponential,2288,200,31,13,2178,,50,48,buy
uniform,1723,700,14,17,1343,,30,23,buy
exponential,2288,200,31,13,2178,,50,48,buy
exponential,1192,400,0,71,992,,50,8,exchange
exponential,2121,400,28,28,1910,,30,19,exchange
exponential,1208,400,15,52,999,,50,9,exchange
uniform,858,700,2,57,511,,50,1,exchange
uniform,858,700,2,57,511,,50,1,exchange
exponential,1245,400,40,56,1029,,50,10,exchange
exponential,5839,1400,8,9,5071,,10,1,buy
exponential,2483,200,33,67,2366,,50,49,buy
exponential,2231,400,0,30,2048,,30,20,exchange
uniform,869,700,15,52,518,,50,2,exchange
exponential,2259,400,13,15,2036,,30,21,buy
exponential,1265,400,10,53,1056,,50,11,exchange
uniform,869,700,15,52,518,,50,2,exchange
exponential,2483,200,33,67,2366,,50,49,buy
uniform,878,700,0,71,530,,50,3,exchange
uniform,878,700,0,71,530,,50,3,exchange
exponential,2329,400,6,14,2096,,30,22,buy
uniform,886,700,3,35,535,,50,4,exchange
uniform,886,700,3,35,535,,50,4,exchange
uniform,891,700,7,61,550,,50,5,buy
uniform,893,700,20,53,519,,50,6,exchange
uniform,891,700,7,61,550,,50,5,buy
uniform,895,700,26,52,546,,50,7,exchange
uniform,2008,700,13,15,1631,,30,24,buy
uniform,893,700,20,53,519,,50,6,exchange
uniform,895,700,26,52,546,,50,7,exchange
uniform,2056,700,6,14,1658,,30,25,buy
exponential,1365,400,48,74,1145,,50,12,exchange
uniform,912,700,10,53,580,,50,8,exchange
exponential,2527,400,18,27,2312,,30,23,buy
