distribution,time,sheets,id,friends,surplus,purchased,agents,full_agents,stage
uniform,41,20,14,17,29,,30,26,buy
exponential,27,10,21,22,21,,30,10,buy
uniform,49,20,6,14,38,,30,28,buy
exponential,29,10,20,29,22,,30,11,buy
uniform,397,100,2,0,298,,5,1,buy
uniform,45,20,12,11,34,,30,27,buy
exponential,31,10,26,20,26,,30,12,buy
exponential,337,50,3,2,288,,5,2,buy
exponential,33,10,15,30,25,,30,14,exchange
exponential,34,10,2,15,27,,30,15,buy
exponential,20,10,16,72,14,,50,8,exchange
uniform,49,20,6,14,38,,30,28,buy
uniform,432,100,1,2,333,,5,2,buy
exponential,37,10,28,28,30,,30,17,exchange
exponential,138,50,1,12,105,,10,1,exchange
uniform,397,100,2,0,298,,5,1,buy
exponential,196,10,8,22,191,,20,20,buy
uniform,483,100,3,2,384,,5,3,buy
exponential,138,50,1,12,105,,10,1,exchange
exponential,20,10,16,72,14,,50,8,exchange
exponential,22,10,37,56,15,,50,9,buy
uniform,432,100,1,2,333,,5,2,buy
exponential,447,50,0,8,398,,5,3,buy
exponential,453,50,1,2,404,,5,4,buy
exponential,23,20,5,42,10,,50,1,exchange
exponential,45,10,6,14,40,,30,18,buy
uniform,564,100,4,0,465,,5,4,buy
uniform,584,100,0,8,485,,5,5,buy
exponential,29,20,10,41,17,,30,2,exchange
uniform,483,100,3,2,384,,5,3,buy
exponential,22,10,37,56,15,,50,9,buy
uniform,73,20,3,41,60,,30,29,buy
exponential,30,20,20,29,19,,30,3,exchange
exponential,24,10,30,35,17,,50,10,buy
exponential,51,10,12,11,43,,30,19,buy
exponential,32,20,1,23,23,,30,4,exchange
exponential,25,10,39,76,20,,50,13,buy
uniform,564,100,4,0,465,,5,4,buy
uniform,151,100,1,12,94,,10,1,exchange
uniform,73,20,3,41,60,,30,29,buy
uniform,584,100,0,8,485,,5,5,buy
exponential,24,10,30,35,17,,50,10,buy
uniform,153,100,5,14,97,,10,2,exchange
exponential,25,10,39,76,20,,50,13,buy
exponential,1136,50,4,0,1087,,5,5,buy
exponential,177,50,8,9,148,,10,2,exchange
exponential,177,50,8,9,148,,10,2,exchange
uniform,151,100,1,12,94,,10,1,exchange
uniform,153,100,5,14,97,,10,2,exchange
exponential,27,10,5,42,21,,50,14,exchange
exponential,27,10,5,42,21,,50,14,exchange
exponential,67,10,24,34,61,,30,20,buy
uniform,171,100,7,9,107,,10,3,exchange
exponential,29,10,43,63,25,,50,15,exchange
exponential,29,10,43,63,25,,50,15,exchange
exponential,40,20,3,41,33,,30,5,exchange
uniform,171,100,7,9,107,,10,3,exchange
exponential,42,20,8,39,33,,30,6,exchange
exponential,78,10,23,18,73,,30,21,buy
exponential,31,10,38,64,26,,50,16,buy
exponential,1136,50,4,0,1087,,5,5,buy
exponential,31,10,38,64,26,,50,16,buy
exponential,44,20,22,17,32,,30,7,buy
uniform,190,100,3,7,133,,10,4,exchange
exponential,45,20,11,28,34,,30,8,buy
exponential,33,10,22,25,28,,50,17,buy
exponential,86,10,17,37,82,,30,22,buy
uniform,190,100,3,7,133,,10,4,exchange
exponential,226,50,3,7,195,,10,3,buy
exponential,33,10,22,25,28,,50,17,buy
exponential,88,10,19,48,81,,30,23,buy
uniform,200,100,9,9,143,,10,6,exchange
exponential,31,20,14,30,18,,50,2,exchange
uniform,200,100,9,9,143,,10,6,exchange
exponential,226,50,3,7,195,,10,3,buy
uniform,127,20,22,17,116,,30,30,buy
exponential,244,50,6,1,204,,10,4,buy
exponential,36,10,45,34,29,,50,19,buy
exponential,32,20,16,72,21,,50,4,buy
exponential,36,10,45,34,29,,50,19,buy
exponential,244,50,6,1,204,,10,4,buy
exponential,1775,200,0,0,1576,,2,1,buy
exponential,37,10,32,54,31,,50,22,exchange
exponential,37,10,32,54,31,,50,22,exchange
uniform,127,20,22,17,116,,30,30,buy
exponential,54,20,27,35,46,,30,9,exchange
exponential,1775,200,0,0,1576,,2,1,buy
exponential,38,10,21,66,31,,50,23,buy
exponential,38,10,21,66,31,,50,23,buy
uniform,247,100,2,8,194,,10,7,buy
exponential,57,20,16,29,47,,30,10,buy
exponential,114,10,22,17,105,,30,24,buy
exponential,40,10,24,72,33,,50,24,buy
exponential,40,10,24,72,33,,50,24,buy
uniform,247,100,2,8,194,,10,7,buy
exponential,42,10,44,48,36,,50,25,buy
exponential,35,20,38,64,24,,50,5,buy
exponential,95,50,17,9,61,,20,1,buy
exponential,42,10,44,48,36,,50,25,buy
exponential,304,50,7,9,270,,10,5,buy
exponential,126,10,18,27,121,,30,25,buy
exponential,527,100,2,0,428,,5,1,buy
exponential,310,50,2,8,274,,10,6,buy
exponential,304,50,7,9,270,,10,5,buy
exponential,310,50,2,8,274,,10,6,buy
exponential,104,50,3,29,79,,20,2,buy
exponential,147,10,11,28,143,,30,26,buy
exponential,48,10,40,56,43,,50,27,buy
exponential,72,20,4,28,63,,30,11,buy
exponential,38,20,32,54,30,,50,8,exchange
exponential,48,10,40,56,43,,50,27,buy
exponential,39,20,2,57,28,,50,9,buy
exponential,77,20,23,18,63,,30,12,buy
uniform,365,100,0,9,312,,10,8,buy
exponential,78,20,28,28,67,,30,13,buy
exponential,52,10,34,56,46,,50,28,buy
exponential,672,100,0,8,573,,5,2,buy
exponential,52,10,34,56,46,,50,28,buy
exponential,53,10,20,53,47,,50,29,buy
exponential,112,50,0,26,88,,20,3,exchange
exponential,53,10,20,53,47,,50,29,buy
exponential,54,10,4,65,49,,50,30,buy
exponential,173,10,29,14,166,,30,27,buy
exponential,2746,200,1,2,2547,,2,2,buy
exponential,41,20,49,67,26,,50,11,buy
exponential,54,10,4,65,49,,50,30,buy
exponential,83,20,17,37,71,,30,14,buy
exponential,56,10,33,67,50,,50,31,buy
exponential,181,10,5,26,177,,30,28,buy
exponential,56,10,33,67,50,,50,31,buy
uniform,419,100,4,2,343,,10,9,buy
uniform,365,100,0,9,312,,10,8,buy
exponential,431,50,9,9,400,,10,7,buy
exponential,43,20,18,48,30,,50,12,buy
exponential,2746,200,1,2,2547,,2,2,buy
exponential,44,20,19,33,35,,50,13,exchange
exponential,431,50,9,9,400,,10,7,buy
uniform,121,100,1,24,69,,20,1,exchange
exponential,126,50,1,24,104,,20,4,exchange
uniform,419,100,4,2,343,,10,9,buy
exponential,101,20,5,26,91,,30,15,buy
exponential,102,20,29,14,90,,30,16,buy
uniform,130,100,7,17,82,,20,3,exchange
exponential,516,50,0,9,490,,10,8,buy
exponential,48,20,30,35,38,,50,14,buy
exponential,69,10,48,74,63,,50,32,buy
exponential,69,10,48,74,63,,50,32,buy
exponential,110,20,12,11,99,,30,17,buy
exponential,136,50,16,13,116,,20,5,exchange
exponential,516,50,0,9,490,,10,8,buy
exponential,50,20,6,56,39,,50,15,buy
exponential,115,20,2,15,103,,30,18,buy
exponential,1126,100,4,0,1027,,5,3,buy
uniform,140,100,5,25,85,,20,4,exchange
exponential,76,10,15,52,70,,50,33,buy
exponential,76,10,15,52,70,,50,33,buy
uniform,142,100,13,23,91,,20,5,exchange
exponential,125,20,25,22,115,,30,19,buy
exponential,289,10,16,29,281,,30,29,buy
exponential,53,20,24,72,45,,50,16,buy
exponential,127,20,14,17,113,,30,20,buy
uniform,146,100,8,22,93,,20,6,exchange
exponential,148,50,4,6,121,,20,6,exchange
exponential,84,50,18,27,52,,30,1,exchange
exponential,82,10,1,66,78,,50,34,buy
exponential,82,10,1,66,78,,50,34,buy
exponential,313,100,2,8,257,,10,1,buy
exponential,83,10,41,55,76,,50,35,buy
exponential,83,10,41,55,76,,50,35,buy
exponential,153,50,11,19,117,,20,7,buy
exponential,84,10,35,68,80,,50,36,buy
uniform,152,100,14,21,107,,20,7,exchange
exponential,84,10,35,68,80,,50,36,buy
exponential,138,20,7,30,128,,30,21,buy
exponential,56,20,39,76,46,,50,17,exchange
exponential,139,20,21,22,127,,30,22,buy
exponential,87,10,17,60,78,,50,37,buy
exponential,687,50,4,2,649,,10,9,buy
exponential,87,10,17,60,78,,50,37,buy
exponential,57,20,28,32,46,,50,19,buy
exponential,89,50,11,28,63,,30,2,buy
exponential,146,20,0,30,135,,30,23,buy
exponential,58,20,37,56,47,,50,20,buy
exponential,346,10,25,22,338,,30,30,buy
exponential,91,10,29,35,84,,50,39,buy
exponential,91,10,29,35,84,,50,39,buy
exponential,687,50,4,2,649,,10,9,buy
uniform,162,100,0,26,111,,20,8,exchange
exponential,1528,100,1,2,1429,,5,4,buy
exponential,60,20,20,53,53,,50,21,buy
exponential,350,100,7,9,290,,10,2,exchange
uniform,807,100,6,1,725,,10,10,buy
exponential,102,10,13,51,96,,50,40,buy
exponential,102,10,13,51,96,,50,40,buy
uniform,176,100,18,22,132,,20,10,exchange
exponential,360,100,5,14,304,,10,3,exchange
exponential,64,20,34,56,53,,50,22,buy
exponential,97,50,3,41,78,,30,3,exchange
exponential,105,10,46,44,97,,50,41,buy
exponential,105,10,46,44,97,,50,41,buy
exponential,182,20,6,14,170,,30,24,buy
exponential,68,20,8,48,57,,50,23,buy
exponential,112,10,42,66,107,,50,42,buy
exponential,112,10,42,66,107,,50,42,buy
uniform,191,100,12,14,136,,20,11,exchange
exponential,399,100,4,2,324,,10,4,buy
exponential,201,20,13,15,188,,30,25,buy
exponential,2192,100,3,2,2093,,5,5,buy
uniform,206,100,11,19,155,,20,12,buy
exponential,123,10,36,67,119,,50,43,buy
exponential,123,10,36,67,119,,50,43,buy
uniform,807,100,6,1,725,,10,10,buy
exponential,126,10,18,48,121,,50,44,buy
exponential,126,10,18,48,121,,50,44,buy
exponential,226,20,15,30,210,,30,26,buy
exponential,229,20,24,34,214,,30,27,buy
uniform,217,100,19,13,155,,20,13,buy
exponential,114,50,4,28,85,,30,4,buy
exponential,78,20,23,44,66,,50,24,buy
exponential,215,50,6,11,188,,20,8,buy
exponential,242,20,9,34,233,,30,28,buy
uniform,230,100,9,11,170,,20,14,buy
exponential,467,100,1,12,411,,10,5,buy
exponential,144,10,23,44,138,,50,45,buy
exponential,144,10,23,44,138,,50,45,buy
exponential,266,20,19,48,256,,30,29,buy
exponential,85,20,41,55,72,,50,26,buy
exponential,1187,50,5,14,1158,,10,10,buy
uniform,111,100,10,41,63,,30,1,exchange
exponential,1187,50,5,14,1158,,10,10,buy
exponential,89,20,42,66,78,,50,27,buy
exponential,156,10,31,13,150,,50,46,buy
exponential,156,10,31,13,150,,50,46,buy
exponential,242,50,12,14,212,,20,9,buy
uniform,114,100,6,14,56,,30,3,exchange
exponential,92,20,21,66,82,,50,28,buy
exponential,537,100,0,9,487,,10,6,buy
exponential,95,20,45,34,84,,50,29,buy
uniform,119,100,7,30,62,,30,4,exchange
exponential,137,50,8,39,114,,30,5,buy
exponential,172,10,11,34,167,,50,47,buy
uniform,121,100,11,28,70,,30,5,buy
uniform,281,100,17,9,216,,20,15,buy
exponential,172,10,11,34,167,,50,47,buy
exponential,141,50,2,15,113,,30,6,exchange
exponential,103,20,48,74,95,,50,31,buy
uniform,125,100,19,48,69,,30,8,exchange
uniform,296,100,15,16,242,,20,16,buy
exponential,190,10,12,49,186,,50,48,buy
exponential,106,20,46,44,95,,50,32,buy
uniform,128,100,21,22,67,,30,9,buy
exponential,190,10,12,49,186,,50,48,buy
exponential,653,100,9,9,592,,10,8,exchange
exponential,151,50,20,29,119,,30,7,buy
exponential,297,50,2,13,272,,20,10,buy
uniform,136,100,24,34,79,,30,10,buy
exponential,116,20,1,66,107,,50,33,buy
uniform,139,100,2,15,84,,30,11,exchange
uniform,341,100,16,13,294,,20,17,buy
exponential,222,10,49,67,216,,50,49,buy
exponential,315,50,14,21,287,,20,14,exchange
exponential,316,50,13,23,285,,20,15,buy
exponential,231,10,3,35,225,,50,50,buy
exponential,222,10,49,67,216,,50,49,buy
exponential,125,20,44,48,115,,50,34,buy
exponential,126,20,36,67,112,,50,35,buy
exponential,4458,400,0,0,4059,,2,1,buy
exponential,171,50,28,28,145,,30,8,buy
exponential,344,50,19,13,314,,20,16,buy
exponential,231,10,3,35,225,,50,50,buy
uniform,372,100,10,4,311,,20,18,buy
exponential,489,20,26,20,478,,30,30,buy
uniform,375,100,4,6,324,,20,19,buy
exponential,133,20,13,51,120,,50,36,buy
exponential,9,10,0,26,5,,20,1,exchange
exponential,13,10,16,13,6,,20,2,exchange
exponential,15,10,7,17,8,,20,3,buy
exponential,80,50,2,57,52,,50,1,buy
exponential,23,10,18,22,17,,20,5,exchange
exponential,25,10,15,16,19,,20,7,exchange
uniform,153,100,5,26,99,,30,13,exchange
exponential,30,10,11,19,22,,20,8,buy
exponential,31,10,19,13,24,,20,9,buy
