35,20,9,9,23,10,2,exchange
38,20,5,14,29,10,3,exchange
47,20,7,9,33,10,4,buy
49,20,0,9,34,10,5,buy
62,20,1,12,51,10,6,buy
149,20,4,2,133,10,7,buy
161,20,6,1,146,10,8,buy
188,20,2,8,172,10,9,buy
349,20,8,9,333,10,10,buy
34,20,2,13,22,20,1,buy
37,20,0,26,25,20,2,exchange
44,20,14,21,29,20,4,exchange
58,20,17,9,44,20,6,exchange
60,20,3,29,50,20,7,buy
66,20,11,19,56,20,8,buy
67,20,8,22,53,20,9,buy
74,20,9,11,62,20,10,buy
76,20,19,13,63,20,11,buy
82,20,7,17,68,20,12,buy
86,20,15,16,75,20,14,exchange
104,20,10,4,87,20,16,exchange
160,20,4,6,148,20,17,buy
161,20,12,14,148,20,18,buy
239,20,16,13,224,20,19,buy
524,20,18,22,509,20,20,buy
54,20,4,0,35,5,1,buy
76,20,0,8,57,5,2,buy
83,20,2,0,64,5,3,buy
100,20,1,2,81,5,4,buy
136,20,3,2,117,5,5,buy
54,20,1,2,35,2,1,buy
304,20,0,0,285,2,2,buy
28,20,1,23,16,30,1,exchange
30,20,8,39,21,30,2,buy
33,20,5,26,21,30,4,exchange
36,20,29,14,23,30,5,exchange
38,20,9,34,28,30,7,exchange
46,20,3,41,35,30,8,buy
48,20,22,17,36,30,9,exchange
50,20,24,34,38,30,10,buy
51,20,14,17,37,30,11,buy
56,20,13,15,46,30,12,buy
66,20,27,35,54,30,13,buy
67,20,19,48,54,30,14,exchange
68,20,26,20,56,30,15,buy
69,20,4,28,60,30,17,exchange
81,20,7,30,69,30,18,buy
104,20,25,22,95,30,19,buy
106,20,21,22,94,30,20,buy
150,20,23,18,138,30,21,buy
159,20,15,30,147,30,22,buy
173,20,20,29,159,30,23,buy
195,20,12,11,182,30,25,exchange
204,20,17,37,193,30,26,buy
261,20,16,29,249,30,27,buy
283,20,18,27,272,30,28,buy
322,20,28,28,309,30,29,buy
443,20,10,41,431,30,30,buy
17,10,1,12,13,10,1,buy
19,10,0,9,13,10,2,exchange
23,10,9,9,17,10,3,exchange
42,10,5,14,36,10,4,buy
46,10,3,7,40,10,5,buy
58,10,6,1,49,10,6,buy
60,10,7,9,53,10,7,buy
82,10,4,2,75,10,8,buy
96,10,8,9,88,10,9,buy
202,10,2,8,194,10,10,buy
16,10,11,19,13,20,1,exchange
18,10,1,24,13,20,4,exchange
20,10,9,11,15,20,5,buy
23,10,18,22,16,20,6,buy
28,10,13,23,22,20,7,buy
30,10,16,13,24,20,8,buy
39,10,12,14,33,20,9,buy
41,10,8,22,35,20,10,buy
44,10,6,11,37,20,11,exchange
61,10,2,13,55,20,12,buy
62,10,15,16,54,20,13,buy
66,10,4,6,60,20,14,buy
68,10,3,29,63,20,15,buy
78,10,17,9,70,20,16,buy
119,10,5,25,113,20,17,buy
147,10,19,13,139,20,19,buy
155,10,14,21,149,20,20,buy
39,10,4,0,30,5,1,buy
40,10,0,8,31,5,2,buy
49,10,1,2,40,5,3,buy
114,10,2,0,105,5,4,buy
120,10,3,2,111,5,5,buy
28,10,0,0,19,2,1,buy
80,10,1,2,71,2,2,buy
10,10,19,48,3,30,1,buy
13,10,7,30,9,30,2,exchange
14,10,21,22,8,30,3,buy
15,10,24,34,9,30,5,buy
17,10,27,35,9,30,6,buy
18,10,10,41,11,30,8,buy
19,10,3,41,15,30,9,buy
