distribution,time,sheets,id,friends,surplus,purchased,agents,full_agents,stage
uniform,127,20,22,17,116,128,30,30,buy
uniform,200,100,9,9,143,201,10,6,exchange
uniform,127,20,22,17,116,128,30,30,buy
exponential,42,10,44,48,36,43,50,25,buy
exponential,244,50,6,1,204,245,10,4,buy
exponential,40,10,24,72,33,41,50,24,buy
exponential,1775,200,0,0,1576,1776,2,1,buy
exponential,114,10,22,17,105,115,30,24,buy
exponential,527,100,2,0,428,528,5,1,buy
exponential,35,20,38,64,24,36,50,5,buy
exponential,42,10,44,48,36,43,50,25,buy
exponential,126,10,18,27,121,127,30,25,buy
uniform,247,100,2,8,194,248,10,7,buy
exponential,304,50,7,9,270,305,10,5,buy
exponential,95,50,17,9,61,96,20,1,buy
uniform,247,100,2,8,194,248,10,7,buy
exponential,310,50,2,8,274,311,10,6,buy
exponential,48,10,40,56,43,49,50,27,buy
exponential,72,20,4,28,63,73,30,11,buy
exponential,304,50,7,9,270,305,10,5,buy
exponential,38,20,32,54,30,39,50,8,exchange
exponential,310,50,2,8,274,311,10,6,buy
exponential,48,10,40,56,43,49,50,27,buy
exponential,147,10,11,28,143,148,30,26,buy
exponential,39,20,2,57,28,40,50,9,buy
exponential,77,20,23,18,63,78,30,12,buy
exponential,52,10,34,56,46,53,50,28,buy
exponential,78,20,28,28,67,79,30,13,buy
exponential,53,10,20,53,47,54,50,29,buy
exponential,672,100,0,8,573,673,5,2,buy
exponential,54,10,4,65,49,55,50,30,buy
exponential,104,50,3,29,79,105,20,2,buy
exponential,52,10,34,56,46,53,50,28,buy
exponential,83,20,17,37,71,84,30,14,buy
exponential,41,20,49,67,26,42,50,11,buy
exponential,56,10,33,67,50,57,50,31,buy
exponential,53,10,20,53,47,54,50,29,buy
exponential,54,10,4,65,49,55,50,30,buy
exponential,2746,200,1,2,2547,2747,2,2,buy
exponential,173,10,29,14,166,174,30,27,buy
exponential,56,10,33,67,50,57,50,31,buy
exponential,43,20,18,48,30,44,50,12,buy
exponential,181,10,5,26,177,182,30,28,buy
exponential,112,50,0,26,88,113,20,3,exchange
exponential,44,20,19,33,35,45,50,13,exchange
exponential,431,50,9,9,400,432,10,7,buy
uniform,365,100,0,9,312,366,10,8,buy
uniform,365,100,0,9,312,366,10,8,buy
exponential,431,50,9,9,400,432,10,7,buy
exponential,2746,200,1,2,2547,2747,2,2,buy
exponential,101,20,5,26,91,102,30,15,buy
exponential,102,20,29,14,90,103,30,16,buy
exponential,69,10,48,74,63,70,50,32,buy
exponential,110,20,12,11,99,111,30,17,buy
exponential,48,20,30,35,38,49,50,14,buy
exponential,126,50,1,24,104,127,20,4,exchange
exponential,115,20,2,15,103,116,30,18,buy
exponential,69,10,48,74,63,70,50,32,buy
uniform,419,100,4,2,343,420,10,9,buy
uniform,419,100,4,2,343,420,10,9,buy
exponential,50,20,6,56,39,51,50,15,buy
exponential,516,50,0,9,490,517,10,8,buy
exponential,125,20,25,22,115,126,30,19,buy
exponential,1126,100,4,0,1027,1127,5,3,buy
exponential,76,10,15,52,70,77,50,33,buy
exponential,127,20,14,17,113,128,30,20,buy
exponential,516,50,0,9,490,517,10,8,buy
exponential,136,50,16,13,116,137,20,5,exchange
exponential,76,10,15,52,70,77,50,33,buy
exponential,138,20,7,30,128,139,30,21,buy
exponential,139,20,21,22,127,140,30,22,buy
exponential,53,20,24,72,45,54,50,16,buy
exponential,82,10,1,66,78,83,50,34,buy
exponential,83,10,41,55,76,84,50,35,buy
exponential,146,20,0,30,135,147,30,23,buy
exponential,84,10,35,68,80,85,50,36,buy
exponential,82,10,1,66,78,83,50,34,buy
exponential,83,10,41,55,76,84,50,35,buy
exponential,289,10,16,29,281,290,30,29,buy
exponential,87,10,17,60,78,88,50,37,buy
exponential,84,10,35,68,80,85,50,36,buy
exponential,56,20,39,76,46,57,50,17,exchange
uniform,121,100,1,24,69,122,20,1,exchange
exponential,148,50,4,6,121,149,20,6,exchange
exponential,84,50,18,27,52,85,30,1,exchange
exponential,57,20,28,32,46,58,50,19,buy
exponential,87,10,17,60,78,88,50,37,buy
exponential,91,10,29,35,84,92,50,39,buy
exponential,153,50,11,19,117,154,20,7,buy
exponential,58,20,37,56,47,59,50,20,buy
exponential,313,100,2,8,257,314,10,1,buy
exponential,91,10,29,35,84,92,50,39,buy
exponential,687,50,4,2,649,688,10,9,buy
exponential,1528,100,1,2,1429,1529,5,4,buy
