time,sheets,id,friends,surplus,agents,full_agents,stage
11,10,15,25,7,23,13,exchange
12,10,5,25,6,23,14,exchange
14,10,22,6,7,23,16,buy
15,10,20,31,8,23,18,exchange
16,10,13,13,10,23,19,buy
18,10,19,13,11,23,20,buy
26,10,10,12,21,23,21,buy
33,10,9,19,29,23,22,buy
44,10,21,14,36,23,23,buy
9,10,19,39,4,26,4,exchange
10,10,6,22,6,26,13,exchange
11,10,14,23,6,26,14,buy
12,10,23,34,6,26,16,exchange
13,10,8,27,7,26,17,buy
15,10,20,36,12,26,19,exchange
16,10,15,23,10,26,22,exchange
18,10,12,11,11,26,23,buy
19,10,25,15,13,26,24,buy
22,10,13,32,15,26,25,buy
28,10,21,35,23,26,26,buy
8,10,7,30,4,30,1,exchange
9,10,0,28,4,30,3,exchange
10,10,19,21,5,30,10,exchange
11,10,27,35,6,30,16,exchange
12,10,17,32,9,30,19,exchange
13,10,25,29,8,30,21,buy
14,10,29,26,9,30,24,exchange
18,10,26,32,13,30,26,exchange
19,10,24,21,12,30,27,buy
20,10,28,39,12,30,30,exchange
19,16,3,12,7,7,1,exchange
25,16,2,7,13,7,2,buy
28,16,0,9,16,7,3,buy
30,16,1,5,18,7,4,exchange
37,16,6,3,25,7,5,buy
49,16,4,2,36,7,6,buy
88,16,5,6,76,7,7,buy
20,16,0,9,10,10,1,exchange
22,16,7,5,10,10,2,exchange
23,16,5,14,12,10,5,exchange
31,16,6,6,21,10,6,buy
34,16,1,10,21,10,7,buy
57,16,4,14,43,10,8,buy
65,16,3,10,56,10,9,buy
90,16,8,9,79,10,10,buy
15,16,14,19,7,17,1,exchange
16,16,1,19,8,17,2,buy
17,16,9,18,6,17,3,exchange
18,16,10,7,6,17,4,exchange
19,16,8,13,7,17,6,exchange
20,16,2,22,9,17,7,buy
22,16,15,16,10,17,11,exchange
25,16,11,12,15,17,12,buy
26,16,5,13,16,17,13,buy
27,16,7,19,16,17,14,buy
33,16,4,24,21,17,15,buy
53,16,16,7,42,17,16,buy
62,16,6,14,49,17,17,buy
17,16,0,28,8,20,2,exchange
18,16,4,24,9,20,3,exchange
19,16,11,27,11,20,5,exchange
20,16,15,20,14,20,9,exchange
23,16,9,18,13,20,10,buy
24,16,12,17,14,20,12,exchange
25,16,13,23,15,20,17,exchange
27,16,10,16,19,20,18,buy
28,16,8,25,19,20,19,buy
48,16,14,11,34,20,20,buy
15,16,14,27,6,23,1,exchange
16,16,20,31,11,23,3,exchange
18,16,13,13,8,23,5,buy
19,16,1,28,12,23,8,exchange
20,16,18,24,10,23,11,exchange
22,16,19,13,13,23,12,buy
24,16,22,6,16,23,14,buy
25,16,15,25,18,23,15,buy
26,16,17,20,18,23,16,exchange
27,16,2,16,16,23,17,buy
31,16,16,24,21,23,19,exchange
32,16,6,10,21,23,20,buy
47,16,9,19,37,23,21,buy
49,16,5,25,38,23,22,buy
94,16,3,11,83,23,23,buy
14,16,7,19,8,26,1,exchange
15,16,13,32,5,26,2,exchange
16,16,10,18,5,26,3,buy
17,16,19,39,10,26,7,exchange
18,16,9,32,11,26,8,exchange
19,16,4,30,10,26,10,buy
20,16,14,23,9,26,13,buy
21,16,16,21,14,26,17,exchange
22,16,17,17,11,26,18,buy
23,16,21,35,11,26,19,buy
28,16,22,27,20,26,21,exchange
31,16,23,34,21,26,22,buy
35,16,24,18,25,26,23,buy
41,16,3,28,34,26,24,buy
45,16,25,15,35,26,25,buy
48,16,12,11,37,26,26,buy
15,16,26,32,6,30,1,exchange
16,16,1,27,6,30,2,exchange
17,16,27,35,10,30,7,exchange
18,16,4,29,12,30,8,exchange
19,16,17,32,9,30,10,exchange
20,16,9,30,11,30,12,exchange
21,16,24,21,12,30,18,exchange
22,16,14,11,13,30,20,buy
23,16,25,29,12,30,24,buy
24,16,2,13,15,30,25,buy
26,16,21,29,18,30,28,exchange
30,16,0,28,21,30,29,buy
53,16,13,20,41,30,30,buy
28,23,6,3,12,7,1,exchange
42,23,2,7,28,7,2,exchange
43,23,0,9,28,7,3,buy
49,23,3,12,34,7,4,buy
69,23,5,6,49,7,6,exchange
72,23,4,2,53,7,7,buy
32,23,5,14,17,10,2,exchange
33,23,7,5,22,10,4,exchange
43,23,2,11,28,10,5,exchange
44,23,4,14,27,10,6,buy
46,23,1,10,27,10,7,buy
53,23,6,6,39,10,8,buy
69,23,8,9,56,10,9,buy
89,23,9,2,71,10,10,buy
21,23,4,24,12,17,1,exchange
24,23,10,7,12,17,3,exchange
25,23,9,18,11,17,4,buy
26,23,14,19,12,17,5,exchange
27,23,7,19,15,17,7,exchange
28,23,5,13,13,17,8,buy
37,23,15,16,25,17,10,exchange
42,23,12,18,29,17,11,exchange
44,23,11,12,30,17,13,exchange
66,23,16,7,50,17,14,buy
70,23,6,14,54,17,15,buy
92,23,0,18,79,17,16,buy
109,23,13,15,94,17,17,buy
23,23,3,30,9,20,1,exchange
24,23,13,23,12,20,3,exchange
25,23,0,28,13,20,4,exchange
26,23,7,13,11,20,6,exchange
29,23,2,19,18,20,7,exchange
31,23,11,27,17,20,10,exchange
32,23,1,21,18,20,11,exchange
33,23,15,20,16,20,13,exchange
35,23,17,13,26,20,14,buy
36,23,14,11,24,20,16,exchange
42,23,12,17,29,20,17,buy
49,23,16,7,33,20,18,buy
61,23,19,13,48,20,20,exchange
24,23,20,31,14,23,2,exchange
25,23,18,24,14,23,3,exchange
26,23,12,19,12,23,4,exchange
27,23,4,23,15,23,6,exchange
28,23,8,31,18,23,10,exchange
30,23,7,22,20,23,11,exchange
32,23,16,24,18,23,16,exchange
41,23,11,24,32,23,18,exchange
49,23,22,6,30,23,19,buy
55,23,13,13,44,23,20,buy
65,23,10,12,50,23,21,buy
67,23,19,13,48,23,22,buy
73,23,21,14,59,23,23,buy
22,23,1,33,11,26,1,buy
25,23,4,30,13,26,3,exchange
26,23,21,35,16,26,5,exchange
27,23,18,25,15,26,8,exchange
28,23,19,39,15,26,10,exchange
29,23,25,15,12,26,11,exchange
30,23,15,23,19,26,14,exchange
32,23,23,34,18,26,18,exchange
33,23,13,32,23,26,20,exchange
42,23,22,27,29,26,22,exchange
45,23,24,18,31,26,23,buy
46,23,20,36,34,26,24,buy
57,23,16,21,44,26,25,buy
112,23,9,32,99,26,26,buy
22,23,26,32,9,30,1,exchange
23,23,27,35,12,30,3,buy
24,23,0,28,11,30,4,buy
25,23,16,18,11,30,5,buy
26,23,21,29,14,30,10,exchange
28,23,25,29,16,30,13,exchange
29,23,9,30,15,30,16,exchange
30,23,18,35,21,30,18,exchange
32,23,29,26,17,30,19,exchange
33,23,23,29,21,30,20,buy
35,23,14,11,23,30,23,exchange
47,23,13,20,32,30,24,buy
55,23,17,32,44,30,25,buy
57,23,24,21,44,30,27,buy
66,23,2,13,52,30,28,buy
76,23,28,39,65,30,29,buy
91,23,5,14,81,30,30,buy
54,30,0,9,34,7,1,buy
59,30,2,7,41,7,2,buy
62,30,6,3,42,7,4,exchange
63,30,5,6,39,7,5,buy
86,30,4,2,60,7,6,buy
102,30,1,5,80,7,7,buy
38,30,3,10,22,10,1,exchange
42,30,2,11,20,10,2,buy
