distribution,time,sheets,id,friends,surplus,agents,full_agents,stage
uniform,1019,700,8,39,681,30,9,buy
uniform,4746,700,19,13,4318,20,20,buy
exponential,6666,200,17,37,6569,30,30,buy
uniform,2385,400,0,0,1986,2,1,buy
uniform,2690,400,1,2,2291,2,2,buy
exponential,1372,400,27,35,1167,30,6,exchange
exponential,1437,400,15,30,1225,30,6,exchange
exponential,1382,400,0,30,1185,30,7,exchange
uniform,1058,700,27,35,687,30,10,exchange
uniform,1075,700,19,48,709,30,11,buy
exponential,1416,400,28,28,1218,30,8,exchange
uniform,1087,700,20,29,723,30,12,exchange
exponential,7914,700,4,2,7434,10,9,buy
exponential,1448,400,18,27,1249,30,9,exchange
exponential,1451,400,11,28,1247,30,10,exchange
exponential,1503,400,11,28,1304,30,8,exchange
uniform,1116,700,0,30,760,30,13,buy
exponential,1506,400,10,41,1304,30,9,exchange
exponential,542,200,5,25,444,20,1,exchange
exponential,608,200,18,22,506,20,2,buy
exponential,1512,400,19,48,1315,30,11,exchange
exponential,1562,400,4,28,1350,30,10,exchange
exponential,689,200,3,29,587,20,3,exchange
exponential,700,200,15,16,580,20,4,buy
uniform,1180,700,21,22,818,30,14,buy
exponential,3125,400,16,13,2906,20,13,buy
exponential,1602,400,9,34,1387,30,11,exchange
exponential,835,200,2,13,721,20,5,exchange
exponential,9060,700,2,8,8662,10,10,buy
exponential,1575,400,14,17,1362,30,12,exchange
exponential,912,200,12,14,796,20,6,exchange
exponential,1003,200,8,22,900,20,7,exchange
exponential,3282,400,18,22,3074,20,14,buy
exponential,1886,700,0,26,1548,20,1,exchange
uniform,1237,700,3,41,899,30,15,exchange
exponential,1664,400,20,29,1457,30,13,exchange
exponential,1671,400,1,23,1465,30,14,exchange
exponential,1629,400,13,15,1404,30,13,buy
exponential,1630,400,7,30,1442,30,14,buy
exponential,1179,200,9,11,1063,20,9,exchange
exponential,1933,700,1,24,1607,20,2,exchange
exponential,1269,200,19,13,1146,20,11,exchange
exponential,3553,400,17,9,3294,20,15,buy
exponential,3560,400,19,13,3310,20,16,buy
exponential,1494,200,1,24,1386,20,12,buy
exponential,1516,200,11,19,1401,20,13,buy
exponential,1782,400,26,20,1558,30,15,buy
uniform,1338,700,4,28,971,30,16,exchange
uniform,1347,700,11,28,985,30,17,exchange
exponential,1751,400,15,30,1550,30,15,buy
exponential,3844,400,2,13,3617,20,17,buy
uniform,1356,700,24,34,975,30,18,exchange
exponential,2090,200,17,9,1952,20,15,exchange
exponential,1813,400,17,37,1610,30,16,buy
uniform,1405,700,26,20,1033,30,19,exchange
exponential,2234,200,16,13,2123,20,16,buy
exponential,2262,200,7,17,2159,20,17,buy
exponential,2716,200,10,4,2583,20,18,buy
exponential,1949,400,9,34,1743,30,17,exchange
exponential,1952,400,12,11,1718,30,18,buy
exponential,2011,400,16,29,1798,30,16,buy
exponential,4631,400,15,16,4412,20,18,buy
exponential,3257,200,4,6,3125,20,19,buy
exponential,3348,200,14,21,3238,20,20,buy
uniform,1527,700,18,27,1163,30,21,exchange
exponential,2064,400,18,27,1862,30,17,buy
exponential,2242,700,18,22,1861,20,3,buy
exponential,2051,400,22,17,1832,30,19,buy
exponential,2108,400,29,14,1872,30,18,buy
exponential,5495,400,10,4,5215,20,19,buy
exponential,5522,400,4,6,5286,20,20,buy
exponential,373,50,0,0,324,2,1,buy
exponential,845,50,1,2,796,2,2,buy
exponential,2250,400,29,14,2036,30,20,buy
exponential,2299,400,2,15,2074,30,19,buy
uniform,1729,700,29,14,1336,30,23,exchange
uniform,1763,700,23,18,1380,30,24,exchange
exponential,2438,400,25,22,2212,30,20,buy
exponential,2409,400,23,18,2169,30,21,buy
exponential,2600,400,25,22,2355,30,23,exchange
uniform,2088,700,13,15,1698,30,25,buy
exponential,2828,400,21,22,2611,30,24,buy
exponential,2866,400,21,22,2643,30,21,buy
exponential,2973,400,27,35,2770,30,23,exchange
exponential,2986,400,13,15,2784,30,25,exchange
exponential,2884,700,5,25,2537,20,4,exchange
uniform,2233,700,6,14,1843,30,26,buy
exponential,3030,400,24,34,2816,30,26,buy
uniform,2275,700,12,11,1871,30,27,buy
exponential,3170,400,23,18,2946,30,27,buy
exponential,3189,400,26,20,2967,30,25,buy
exponential,3282,400,24,34,3061,30,26,buy
exponential,3071,700,8,22,2690,20,5,exchange
exponential,3129,700,4,6,2714,20,6,exchange
uniform,2511,700,2,15,2150,30,28,buy
exponential,3572,400,14,17,3344,30,28,buy
exponential,3813,400,16,29,3613,30,27,buy
exponential,3470,700,11,19,3095,20,7,exchange
exponential,4105,400,22,17,3867,30,29,buy
exponential,4368,400,2,15,4161,30,28,buy
exponential,4444,400,6,14,4229,30,29,buy
uniform,3127,700,25,22,2753,30,29,buy
uniform,3198,700,22,17,2796,30,30,buy
exponential,4091,700,2,13,3709,20,8,buy
exponential,4477,700,14,21,4145,20,10,exchange
exponential,4538,700,6,11,4152,20,11,buy
exponential,5916,400,1,23,5714,30,30,buy
exponential,4913,700,15,16,4521,20,12,buy
exponential,5181,700,16,13,4807,20,13,buy
exponential,7012,400,12,11,6782,30,30,buy
exponential,1089,400,1,24,900,20,1,exchange
exponential,1316,400,14,21,1108,20,2,exchange
exponential,1324,400,3,29,1132,20,3,buy
exponential,1360,400,18,22,1139,20,4,exchange
exponential,1497,400,13,23,1277,20,5,buy
exponential,1609,400,8,22,1417,20,6,exchange
exponential,6654,700,19,13,6227,20,14,buy
exponential,1707,400,4,6,1471,20,7,buy
exponential,1878,400,0,26,1674,20,8,exchange
exponential,6854,700,3,29,6480,20,15,buy
exponential,1969,400,6,11,1748,20,9,buy
exponential,2194,700,1,23,1839,30,1,buy
exponential,2282,400,19,13,2037,20,10,buy
exponential,2230,700,20,29,1836,30,3,exchange
exponential,2235,700,4,28,1896,30,4,exchange
exponential,2236,700,17,37,1852,30,5,exchange
exponential,2438,400,15,16,2220,20,12,exchange
exponential,2249,700,8,39,1898,30,6,exchange
exponential,7291,700,10,4,6850,20,16,buy
exponential,2276,700,3,41,1934,30,7,exchange
exponential,2685,400,12,14,2475,20,13,buy
exponential,2305,700,7,30,1943,30,8,exchange
exponential,2839,400,11,19,2615,20,14,buy
exponential,3385,400,16,13,3176,20,15,buy
exponential,3654,400,10,4,3387,20,16,buy
exponential,8024,700,13,23,7669,20,17,buy
exponential,3664,400,2,13,3445,20,17,buy
exponential,8223,700,17,9,7785,20,18,buy
exponential,4247,400,7,17,4026,20,18,buy
exponential,2498,700,28,28,2124,30,9,exchange
exponential,8455,700,12,14,8080,20,19,buy
exponential,8557,700,9,11,8149,20,20,buy
exponential,4492,400,0,0,4093,2,1,buy
exponential,4533,400,1,2,4134,2,2,buy
exponential,2563,700,0,30,2215,30,10,exchange
exponential,3842,400,3,2,3443,5,1,buy
exponential,2578,700,11,28,2211,30,11,exchange
exponential,4181,400,4,0,3782,5,2,buy
exponential,4703,400,0,8,4304,5,3,buy
exponential,4711,400,1,2,4312,5,4,buy
exponential,6430,400,2,0,6031,5,5,buy
exponential,5286,400,17,9,5032,20,19,buy
exponential,2742,700,10,41,2397,30,12,exchange
exponential,6633,400,9,11,6397,20,20,buy
exponential,2893,700,26,20,2521,30,14,exchange
exponential,3016,700,9,34,2661,30,15,buy
exponential,3029,700,15,30,2654,30,16,exchange
exponential,3138,700,27,35,2772,30,18,exchange
exponential,3256,700,24,34,2893,30,20,exchange
exponential,4360,700,25,22,3988,30,22,exchange
exponential,4494,700,6,14,4098,30,23,buy
exponential,5158,700,21,22,4772,30,24,buy
exponential,5736,700,19,48,5351,30,25,buy
exponential,7354,700,12,11,6937,30,26,buy
exponential,7847,700,23,18,7454,30,27,buy
exponential,10658,700,13,15,10269,30,28,buy
exponential,10690,700,29,14,10290,30,29,buy
exponential,13048,700,22,17,12642,30,30,buy
exponential,27,10,0,0,18,2,1,buy
exponential,113,10,1,2,104,2,2,buy
exponential,27,10,0,0,18,2,1,buy
exponential,113,10,1,2,104,2,2,buy
exponential,27,10,0,0,18,2,1,buy
exponential,113,10,1,2,104,2,2,buy
exponential,27,10,0,0,18,2,1,buy
exponential,113,10,1,2,104,2,2,buy
exponential,27,10,0,0,18,2,1,buy
exponential,113,10,1,2,104,2,2,buy
exponential,27,10,0,0,18,2,1,buy
exponential,113,10,1,2,104,2,2,buy
uniform,26,10,1,2,17,2,1,buy
uniform,41,10,0,0,32,2,2,buy
exponential,27,10,0,0,18,2,1,buy
exponential,113,10,1,2,104,2,2,buy
uniform,26,10,1,2,17,2,1,buy
uniform,41,10,0,0,32,2,2,buy
