distribution,time,sheets,id,friends,surplus,agents,full_agents,stage
exponential,28,20,11,28,18,30,1,buy
exponential,57,10,26,20,52,30,18,buy
uniform,77,50,19,13,44,20,10,exchange
exponential,59,10,14,17,53,30,19,buy
uniform,84,50,16,13,61,20,12,exchange
exponential,66,10,9,34,61,30,20,buy
uniform,86,50,6,11,59,20,13,exchange
uniform,87,50,9,11,57,20,14,buy
exponential,969,50,0,8,920,5,5,buy
exponential,72,10,19,48,65,30,21,buy
exponential,74,10,15,30,68,30,22,buy
uniform,101,50,10,4,67,20,15,buy
exponential,280,20,11,19,266,20,20,buy
exponential,91,10,20,29,86,30,23,buy
exponential,92,10,23,18,87,30,24,buy
uniform,109,50,4,6,77,20,16,buy
exponential,43,20,0,30,33,30,2,exchange
uniform,474,100,0,0,375,2,1,buy
exponential,44,20,14,17,32,30,5,exchange
uniform,669,100,1,2,570,2,2,buy
exponential,45,20,23,18,30,30,6,buy
exponential,103,10,8,39,97,30,25,buy
exponential,139,50,5,14,115,10,1,exchange
exponential,47,20,8,39,36,30,7,exchange
exponential,106,10,16,29,101,30,26,buy
uniform,121,50,2,13,94,20,17,buy
exponential,114,10,25,22,107,30,27,buy
uniform,127,50,17,9,89,20,18,buy
exponential,50,20,19,48,38,30,8,buy
exponential,52,20,18,27,42,30,9,buy
uniform,51,50,3,41,28,30,1,exchange
exponential,57,20,10,41,45,30,10,buy
exponential,59,20,2,15,47,30,11,buy
uniform,148,100,0,9,86,10,1,buy
uniform,149,100,2,8,98,10,2,exchange
exponential,62,20,29,14,51,30,13,exchange
uniform,54,50,9,34,29,30,2,exchange
exponential,65,20,13,15,55,30,15,buy
exponential,144,10,17,37,139,30,28,buy
exponential,1562,200,0,0,1363,2,1,buy
exponential,68,20,20,29,58,30,16,buy
exponential,600,100,4,0,501,5,1,buy
exponential,69,20,3,41,60,30,17,exchange
exponential,75,20,22,17,67,30,19,exchange
exponential,158,10,3,41,152,30,29,buy
uniform,168,100,9,9,109,10,4,exchange
exponential,76,20,21,22,62,30,21,buy
exponential,234,50,6,1,187,10,2,buy
uniform,165,50,18,22,136,20,19,buy
exponential,136,50,9,9,101,10,1,exchange
exponential,702,100,1,2,603,5,2,buy
exponential,140,50,5,14,115,10,2,buy
uniform,62,50,27,35,35,30,4,exchange
uniform,186,100,5,14,125,10,5,exchange
exponential,249,50,9,9,216,10,4,exchange
uniform,176,50,12,14,144,20,20,buy
uniform,63,50,4,28,39,30,5,exchange
uniform,12,10,1,2,3,2,1,buy
uniform,20,10,0,0,11,2,2,buy
uniform,64,50,17,37,34,30,7,exchange
uniform,65,50,0,30,35,30,8,exchange
uniform,66,50,22,17,35,30,10,exchange
uniform,67,50,25,22,41,30,11,exchange
uniform,70,50,18,27,43,30,13,exchange
uniform,71,50,15,30,46,30,14,exchange
uniform,72,50,10,41,46,30,15,exchange
exponential,187,50,0,9,162,10,3,buy
exponential,103,20,25,22,91,30,22,buy
exponential,192,50,7,9,158,10,5,exchange
uniform,74,50,20,29,53,30,16,exchange
uniform,76,50,21,22,57,30,17,buy
uniform,241,100,7,9,176,10,6,buy
exponential,216,10,29,14,210,30,30,buy
exponential,982,100,2,0,883,5,3,buy
uniform,80,50,19,48,55,30,18,exchange
exponential,318,50,8,9,290,10,6,exchange
exponential,322,50,0,9,295,10,7,buy
uniform,265,100,8,9,214,10,7,buy
exponential,328,50,3,7,299,10,8,buy
exponential,116,20,5,26,105,30,23,buy
exponential,247,50,6,1,206,10,6,buy
uniform,85,50,13,15,60,30,20,exchange
exponential,118,20,28,28,104,30,24,buy
exponential,356,50,4,2,318,10,9,buy
exponential,269,50,8,9,239,10,7,buy
uniform,87,50,12,11,58,30,21,buy
exponential,122,20,26,20,107,30,25,buy
exponential,301,50,3,7,271,10,8,buy
uniform,92,50,14,17,60,30,22,exchange
uniform,96,50,11,28,74,30,23,buy
exponential,141,20,12,11,127,30,26,buy
exponential,1340,100,0,8,1241,5,4,buy
exponential,548,50,7,9,514,10,10,buy
uniform,352,100,1,12,298,10,8,buy
uniform,356,100,4,2,278,10,9,buy
exponential,3104,200,1,2,2905,2,2,buy
exponential,426,50,1,12,397,10,9,buy
uniform,106,50,26,20,83,30,24,exchange
exponential,1612,100,3,2,1513,5,5,buy
uniform,412,100,6,1,328,10,10,buy
uniform,112,50,5,26,84,30,25,buy
uniform,113,50,1,23,85,30,26,buy
exponential,108,50,1,23,84,30,1,exchange
uniform,116,50,24,34,96,30,27,buy
exponential,165,20,17,37,153,30,27,buy
uniform,320,200,5,14,208,10,1,buy
uniform,1021,200,1,2,822,5,1,buy
uniform,1026,200,0,8,827,5,2,buy
uniform,1035,200,2,0,836,5,3,buy
uniform,152,50,29,14,120,30,28,buy
uniform,1128,200,4,0,929,5,4,buy
exponential,224,20,15,30,215,30,28,buy
exponential,1079,50,4,2,1044,10,10,buy
exponential,238,20,16,29,226,30,29,buy
exponential,1461,200,3,2,1262,5,1,buy
uniform,372,200,3,7,264,10,2,buy
exponential,210,100,0,9,155,10,1,exchange
uniform,197,50,6,14,169,30,29,buy
uniform,1681,200,3,2,1482,5,5,buy
exponential,136,50,2,15,109,30,2,buy
uniform,420,200,0,9,302,10,3,exchange
exponential,140,50,19,48,114,30,3,exchange
uniform,115,100,0,30,63,30,1,exchange
uniform,445,200,8,9,330,10,4,buy
exponential,1823,200,1,2,1624,5,2,buy
uniform,232,50,23,18,202,30,30,buy
exponential,1904,200,4,0,1705,5,3,buy
exponential,366,20,27,35,355,30,30,buy
exponential,154,50,25,22,119,30,4,exchange
uniform,494,200,1,12,383,10,5,buy
exponential,160,50,8,39,138,30,5,exchange
exponential,345,100,9,9,282,10,2,buy
uniform,540,200,9,9,419,10,6,buy
uniform,128,100,16,29,77,30,3,exchange
uniform,129,100,27,35,76,30,4,buy
exponential,168,50,26,20,137,30,6,exchange
exponential,371,100,5,14,318,10,3,exchange
uniform,131,100,17,37,79,30,6,exchange
uniform,135,100,8,39,83,30,9,exchange
exponential,178,50,7,30,152,30,7,exchange
exponential,185,50,20,29,152,30,8,exchange
uniform,141,100,7,30,89,30,10,exchange
uniform,144,100,6,14,93,30,11,buy
uniform,145,100,19,48,87,30,12,exchange
uniform,146,100,28,28,92,30,13,exchange
uniform,676,200,2,8,557,10,7,exchange
exponential,203,50,3,41,178,30,9,buy
exponential,205,50,18,27,178,30,11,buy
uniform,158,100,9,34,110,30,16,exchange
uniform,159,100,21,22,103,30,17,buy
exponential,208,50,9,34,183,30,12,buy
uniform,737,200,7,9,613,10,8,buy
uniform,164,100,23,18,106,30,19,exchange
uniform,167,100,11,28,113,30,21,exchange
uniform,169,100,13,15,109,30,23,exchange
uniform,174,100,26,20,115,30,25,exchange
exponential,615,100,8,9,553,10,4,buy
exponential,226,50,24,34,195,30,13,buy
exponential,3084,200,0,8,2885,5,4,buy
exponential,243,50,6,14,214,30,14,buy
uniform,985,200,6,1,813,10,9,buy
exponential,3823,200,2,0,3624,5,5,buy
exponential,268,50,16,29,244,30,16,buy
exponential,854,100,7,9,778,10,5,buy
exponential,271,50,11,28,240,30,17,buy
exponential,942,100,4,2,866,10,6,buy
uniform,5740,700,1,2,5041,2,1,buy
exponential,287,50,22,17,259,30,18,buy
exponential,198,100,1,23,152,30,1,buy
exponential,290,50,23,18,259,30,20,exchange
exponential,298,50,10,41,274,30,21,buy
uniform,6663,700,0,0,5964,2,2,buy
uniform,2096,400,0,8,1697,5,1,buy
uniform,1326,200,4,2,1185,10,10,buy
exponential,1179,100,3,7,1122,10,7,buy
exponential,341,50,17,37,316,30,22,buy
exponential,1243,100,1,12,1186,10,8,buy
uniform,282,100,25,22,219,30,26,buy
exponential,223,100,0,30,177,30,2,buy
uniform,2519,400,2,0,2120,5,2,buy
exponential,372,50,29,14,345,30,23,buy
uniform,313,100,24,34,254,30,27,buy
uniform,2646,400,4,0,2247,5,3,buy
exponential,1600,100,2,8,1538,10,9,buy
exponential,241,100,5,26,189,30,3,exchange
uniform,3082,400,1,2,2683,5,4,buy
exponential,434,50,13,15,404,30,24,buy
uniform,360,100,22,17,300,30,28,buy
exponential,440,50,5,26,416,30,25,exchange
exponential,442,50,14,17,420,30,26,buy
exponential,447,50,27,35,421,30,27,buy
exponential,256,100,3,41,212,30,4,exchange
exponential,2119,100,6,1,2032,10,10,buy
uniform,389,100,14,17,339,30,29,buy
uniform,3807,400,3,2,3408,5,5,buy
uniform,434,100,12,11,383,30,30,buy
exponential,607,50,15,30,575,30,28,buy
exponential,298,100,12,11,237,30,6,exchange
exponential,623,50,28,28,598,30,29,buy
uniform,121,100,13,23,72,20,1,exchange
uniform,130,100,18,22,81,20,2,exchange
exponential,311,100,7,30,257,30,7,exchange
uniform,131,100,16,13,78,20,3,exchange
uniform,132,100,7,17,70,20,4,exchange
uniform,133,100,14,21,82,20,6,exchange
uniform,144,100,0,26,94,20,7,exchange
uniform,152,100,1,24,107,20,8,exchange
uniform,159,100,15,16,102,20,9,buy
uniform,160,100,8,22,105,20,10,exchange
uniform,166,100,12,14,111,20,11,exchange
uniform,202,100,11,19,146,20,13,exchange
exponential,329,100,24,34,274,30,9,exchange
uniform,278,100,2,13,223,20,14,buy
uniform,286,100,4,6,228,20,15,buy
uniform,353,100,6,11,300,20,16,buy
exponential,366,100,13,15,314,30,11,exchange
uniform,411,100,9,11,353,20,17,buy
uniform,456,100,17,9,389,20,18,buy
uniform,488,100,10,4,419,20,19,buy
exponential,900,200,0,9,791,10,1,buy
exponential,392,100,11,28,344,30,12,exchange
exponential,942,200,8,9,833,10,2,buy
exponential,984,200,5,14,877,10,4,exchange
exponential,1094,50,21,22,1065,30,30,buy
exponential,427,100,15,30,369,30,13,exchange
exponential,1058,200,1,12,952,10,5,buy
exponential,1124,200,9,9,993,10,6,buy
exponential,126,50,15,16,94,20,1,buy
uniform,765,100,19,13,695,20,20,buy
exponential,132,50,18,22,102,20,2,exchange
uniform,240,200,11,28,139,30,1,exchange
exponential,137,50,6,11,108,20,3,exchange
exponential,143,50,9,11,114,20,4,buy
exponential,450,100,19,48,397,30,14,buy
exponential,151,50,19,13,124,20,5,exchange
uniform,247,200,3,41,139,30,2,buy
uniform,254,200,5,26,147,30,3,exchange
exponential,171,50,2,13,144,20,7,exchange
uniform,256,200,10,41,160,30,4,exchange
exponential,461,100,22,17,401,30,15,exchange
exponential,184,50,3,29,150,20,8,buy
uniform,264,200,27,35,162,30,5,exchange
uniform,265,200,8,39,164,30,6,exchange
exponential,203,50,12,14,173,20,9,buy
uniform,267,200,4,28,167,30,7,exchange
uniform,269,200,15,30,167,30,8,exchange
exponential,238,50,16,13,208,20,10,buy
uniform,280,200,18,27,180,30,9,exchange
uniform,281,200,1,23,179,30,11,exchange
uniform,649,400,8,9,429,10,1,exchange
uniform,286,200,17,37,187,30,12,exchange
uniform,289,200,28,28,180,30,13,exchange
uniform,292,200,9,34,192,30,14,exchange
exponential,492,100,10,41,445,30,16,buy
exponential,304,50,4,6,268,20,11,buy
exponential,493,100,29,14,433,30,18,exchange
uniform,314,200,24,34,220,30,16,exchange
uniform,318,200,19,48,224,30,17,exchange
uniform,716,400,5,14,489,10,2,exchange
uniform,334,200,20,29,216,30,18,exchange
uniform,340,200,16,29,235,30,19,buy
exponential,419,50,10,4,391,20,13,exchange
exponential,421,50,7,17,393,20,14,buy
exponential,429,50,8,22,406,20,15,buy
exponential,496,50,11,19,462,20,16,buy
exponential,565,50,14,21,537,20,17,buy
exponential,617,50,5,25,589,20,18,buy
uniform,835,400,0,9,619,10,3,exchange
uniform,437,200,26,20,330,30,21,exchange
exponential,742,50,17,9,709,20,19,buy
exponential,781,50,13,23,749,20,20,buy
uniform,455,200,25,22,343,30,22,buy
uniform,914,400,9,9,690,10,4,buy
exponential,607,100,21,22,549,30,20,exchange
uniform,946,400,3,7,717,10,5,exchange
uniform,980,400,1,12,753,10,6,buy
uniform,1007,400,2,8,776,10,7,buy
uniform,536,200,12,11,414,30,23,buy
exponential,2219,200,7,9,2094,10,7,buy
uniform,558,200,29,14,437,30,24,buy
uniform,616,200,2,15,523,30,25,buy
exponential,2509,200,2,8,2391,10,8,buy
exponential,2511,200,4,2,2364,10,9,buy
exponential,702,100,18,27,647,30,21,exchange
uniform,644,200,13,15,543,30,26,buy
exponential,722,100,23,18,667,30,22,buy
uniform,3630,700,0,8,2931,5,1,buy
uniform,697,200,21,22,587,30,27,buy
uniform,1406,400,4,2,1119,10,8,buy
uniform,776,200,14,17,668,30,28,buy
exponential,438,200,0,30,340,30,1,exchange
exponential,1490,400,5,14,1270,10,1,exchange
exponential,3293,200,6,1,3122,10,10,buy
exponential,1506,400,8,9,1297,10,1,buy
exponential,1508,400,8,9,1301,10,2,buy
exponential,840,100,25,22,787,30,23,buy
exponential,1549,400,9,9,1319,10,3,exchange
exponential,1544,400,5,14,1319,10,2,buy
uniform,4811,700,3,2,4112,5,2,buy
uniform,930,200,22,17,820,30,29,buy
exponential,518,200,5,26,422,30,2,exchange
uniform,5537,700,1,2,4838,5,3,buy
uniform,1990,400,7,9,1750,10,9,buy
uniform,5944,700,4,0,5245,5,4,buy
uniform,6166,700,2,0,5467,5,5,buy
exponential,1813,400,2,8,1570,10,4,exchange
exponential,1047,100,6,14,986,30,24,buy
uniform,1265,200,6,14,1159,30,30,buy
exponential,1114,100,28,28,1057,30,25,buy
uniform,1383,700,8,9,993,10,1,exchange
exponential,1174,100,27,35,1119,30,26,buy
exponential,642,200,25,22,534,30,4,exchange
exponential,1185,100,17,37,1135,30,27,buy
uniform,2663,400,6,1,2308,10,10,buy
uniform,1434,700,5,14,1055,10,2,buy
exponential,2246,400,0,9,2046,10,5,exchange
exponential,2319,400,3,7,2088,10,6,buy
exponential,1260,100,14,17,1204,30,28,buy
exponential,6849,700,3,2,6150,5,1,buy
uniform,497,400,8,39,306,30,1,exchange
