,time,radio,reward,distance,power
12,12,2.5267686969681646,1.0,3.19292095121423,31
13,13,2.8365584162551314,1.0,3.450607555285815,26
14,14,3.09402430764387,1.0,3.4174876136839796,30
15,15,2.908192387319332,1.0,2.5811992755419992,25
16,16,3.032503137804155,1.0,1.824905862479483,18
17,17,2.873945043319004,1.0,1.6599798323724986,13
18,18,3.0990941286329576,1.0,1.4061618031997412,16
19,19,2.932313731584761,0.0,1.2310501201323556,15
20,20,3.051212684331498,1.0,2.0049162701138354,20
21,21,3.344195088865145,0.0,2.004189515153991,23
22,22,3.2961176259428493,0.0,1.8537314073259543,21
23,23,3.1796688585144857,1.0,1.7237510881499472,18
24,24,3.240875979722845,0.0,1.7552278697829469,16
25,25,3.0606484478055505,1.0,2.0135365712085407,19
26,26,3.107236120843123,0.0,2.524114630090343,20
27,27,3.145818106055344,1.0,2.925611082763687,23
28,28,3.2518231657881858,1.0,2.885278949018476,28
29,29,3.02852228987568,1.0,3.0426977812267686,30
0,0,0.42378232487452816,1.0,0.39337075047164716,29
1,1,0.9286643886158412,0.0,0.6111076749087717,11
2,2,1.0882202256530724,1.0,0.37291820714036505,10
3,3,1.2537205214687919,1.0,0.5453658203177794,11
4,4,1.5265580326130006,0.0,0.21711084864443642,12
5,5,1.4173213235513489,1.0,0.719046083536257,13
6,6,1.5431326702925903,0.0,0.3134120380818457,11
7,7,1.5791124789099555,1.0,0.9119017217655438,11
8,8,2.0206926240719487,1.0,0.9438565523213793,11
9,9,2.0051764655683986,1.0,2.077944878542135,33
10,10,2.088059872086253,0.0,2.2079501127452983,23
11,11,2.3332002738809834,0.0,2.2197054735995487,21
12,12,2.7275966709356836,1.0,1.5517470247691811,18
13,13,2.753485344510097,1.0,1.3500310207965955,16
14,14,2.7733412058160227,1.0,1.194368248259338,14
15,15,2.768601321403922,1.0,1.4673500660115846,15
16,16,2.5400168878230853,1.0,1.903619876379485,23
17,17,2.5306293965871576,1.0,2.611782211202952,48
18,18,2.950039935591611,1.0,2.134672940367439,13
19,19,3.3551279501941127,1.0,2.3090474490321657,18
20,20,3.2827276691245872,1.0,2.156556899784218,27
21,21,3.249500459070849,1.0,2.604328916614842,24
22,22,3.329211292950029,1.0,2.31312808355238,19
23,23,3.3089029628200963,1.0,1.8743641974551626,20
24,24,3.1179844669544416,0.0,1.2504677863241007,15
25,25,2.859773818946426,1.0,1.2789139438920358,15
26,26,2.7651185145144073,1.0,1.3111145974977059,10
27,27,2.6401464263063708,1.0,2.031099702415545,18
28,28,2.6612749602797705,1.0,2.0670209525585848,19
29,29,2.7676522984644003,1.0,1.0448298456006677,12
0,0,0.50625884046451,1.0,0.37470708463124214,29
1,1,0.7684418700416888,1.0,0.6329007004952035,11
2,2,1.2460901399622037,0.0,1.0564293485034817,11
3,3,1.6951077937126309,1.0,1.5821856166321036,29
4,4,1.8480784385620828,0.0,1.1183573268289186,13
5,5,2.18555639996962,1.0,1.3371287292905016,49
6,6,1.863111613205812,1.0,2.233744639553582,38
7,7,1.8342372227662493,1.0,2.080370458595981,23
8,8,2.0941304204484883,1.0,2.202571427283641,49
9,9,2.468954320339982,1.0,2.7351872330824376,20
10,10,2.631904476374042,1.0,2.6136234573515766,26
11,11,2.7415748294444073,1.0,2.6378260514249314,27
12,12,2.9226236554973144,0.0,2.6252139108924104,27
