,time,radio,power
232,12,2.285902665,14
233,13,2.303785578,17
234,14,2.339406274,19
235,15,2.359035964,15
236,16,2.361133487,16
237,17,2.688576257,16
238,18,2.339631377,13
239,19,2.312623484,20
240,0,0.999532783,26
241,1,1.177656949,13
242,2,0.906927985,13
243,3,1.152288939,13
244,4,1.092623441,13
245,5,1.283758939,13
246,6,1.29917211,13
247,7,1.504556367,16
248,8,1.565825925,16
249,9,1.708529936,14
250,10,1.932994747,13
251,11,1.906819685,26
252,12,2.285902665,14
253,13,2.303785578,17
254,14,2.339406274,19
255,15,2.359035964,15
256,16,2.361133487,16
257,17,2.688576257,16
258,18,2.339631377,13
259,19,2.312623484,20
260,0,0.999532783,26
261,1,1.177656949,13
262,2,0.906927985,13
263,3,1.152288939,13
264,4,1.092623441,13
265,5,1.283758939,13
266,6,1.29917211,13
267,7,1.504556367,16
268,8,1.565825925,16
269,9,1.708529936,14
270,10,1.932994747,13
271,11,1.906819685,26
272,12,2.285902665,14
273,13,2.303785578,17
274,14,2.339406274,19
275,15,2.359035964,15
276,16,2.361133487,16
277,17,2.688576257,16
278,18,2.339631377,13
279,19,2.312623484,20
280,0,0.999532783,26
281,1,1.177656949,13
282,2,0.906927985,13
283,3,1.152288939,13
284,4,1.092623441,13
285,5,1.283758939,13
286,6,1.29917211,13
287,7,1.504556367,16
288,8,1.565825925,16
289,9,1.708529936,14
290,10,1.932994747,13
291,11,1.906819685,26
292,12,2.285902665,14
293,13,2.303785578,17
294,14,2.339406274,19
295,15,2.359035964,15
296,16,2.361133487,16
297,17,2.688576257,16
298,18,2.339631377,13
299,19,2.312623484,20
300,0,0.999532783,26
301,1,1.177656949,13
302,2,0.906927985,13
303,3,1.152288939,13
304,4,1.092623441,13
305,5,1.283758939,13
306,6,1.29917211,13
307,7,1.504556367,16
308,8,1.565825925,16
309,9,1.708529936,14
310,10,1.932994747,13
311,11,1.906819685,26
312,12,2.285902665,14
313,13,2.303785578,17
314,14,2.339406274,19
315,15,2.359035964,15
316,16,2.361133487,16
317,17,2.688576257,16
318,18,2.339631377,13
319,19,2.312623484,20
320,0,0.999532783,26
321,1,1.177656949,13
322,2,0.906927985,13
323,3,1.152288939,13
324,4,1.092623441,13
325,5,1.283758939,13
326,6,1.29917211,13
327,7,1.504556367,16
328,8,1.565825925,16
329,9,1.708529936,14
330,10,1.932994747,13
331,11,1.906819685,26
332,12,2.285902665,14
333,13,2.303785578,17
334,14,2.339406274,19
335,15,2.359035964,15
336,16,2.361133487,16
337,17,2.688576257,16
338,18,2.339631377,13
339,19,2.312623484,20
340,0,0.999532783,26
341,1,1.177656949,13
342,2,0.906927985,13
343,3,1.152288939,13
344,4,1.092623441,13
345,5,1.283758939,13
346,6,1.29917211,13
347,7,1.504556367,16
348,8,1.565825925,16
349,9,1.708529936,14
350,10,1.932994747,13
351,11,1.906819685,26
352,12,2.285902665,14
353,13,2.303785578,17
354,14,2.339406274,19
355,15,2.359035964,15
356,16,2.361133487,16
357,17,2.688576257,16
358,18,2.339631377,13
359,19,2.312623484,20
360,0,0.999532783,26
361,1,1.177656949,13
362,2,0.906927985,13
363,3,1.152288939,13
364,4,1.092623441,13
365,5,1.283758939,13
366,6,1.29917211,13
367,7,1.504556367,16
368,8,1.565825925,16
369,9,1.708529936,14
370,10,1.932994747,13
371,11,1.906819685,26
372,12,2.285902665,14
373,13,2.303785578,17
374,14,2.339406274,19
375,15,2.359035964,15
376,16,2.361133487,16
377,17,2.688576257,16
378,18,2.339631377,13
379,19,2.312623484,20
380,0,0.999532783,26
381,1,1.177656949,13
382,2,0.906927985,13
383,3,1.152288939,13
384,4,1.092623441,13
385,5,1.283758939,13
386,6,1.29917211,13
387,7,1.504556367,16
388,8,1.565825925,16
389,9,1.708529936,14
390,10,1.932994747,13
391,11,1.906819685,26
392,12,2.285902665,14
393,13,2.303785578,17
394,14,2.339406274,19
395,15,2.359035964,15
396,16,2.361133487,16
397,17,2.688576257,16
398,18,2.339631377,13
399,19,2.312623484,20
