,time,radio,reward,power
39,39,3.5735086533518943,1.0,22
40,40,3.5041887631456814,1.0,14
41,41,3.4011823919850697,1.0,27
42,42,3.489762055884863,1.0,25
43,43,3.9101501440095827,1.0,23
44,44,3.606224163498026,1.0,14
45,45,3.6268928402236806,1.0,27
46,46,3.498702996991868,0.0,25
47,47,3.768285815685154,1.0,24
48,48,3.6155713656008195,1.0,23
49,49,3.169998065749149,1.0,31
0,0,0.4754572336677519,1.0,11
1,1,0.8719771281996519,1.0,11
2,2,0.9626017722602966,1.0,13
3,3,1.306012498126004,1.0,11
4,4,1.6976263611971667,1.0,13
5,5,1.9481412178156379,1.0,11
6,6,2.4839092846533,0.0,10
7,7,2.675795028798325,1.0,11
8,8,2.9811244717617678,1.0,11
9,9,3.124434410441005,1.0,24
10,10,2.8838276017508297,1.0,25
11,11,2.8500359687254284,1.0,13
12,12,2.8510138462554835,1.0,21
13,13,3.451049966781783,1.0,12
14,14,3.1344722695298453,1.0,11
15,15,3.22416032615386,1.0,11
16,16,3.1906285351855295,1.0,12
17,17,3.1795542911543997,1.0,12
18,18,2.929184433356776,0.0,13
19,19,2.8520346449441725,1.0,27
20,20,3.2364511684559845,1.0,13
21,21,2.9489041126012987,1.0,15
22,22,3.0728822599158527,0.0,10
23,23,3.0160903483080976,1.0,19
24,24,3.0259147367055585,1.0,17
25,25,3.223847437551837,1.0,21
26,26,2.8626851195204193,1.0,24
27,27,2.978169429591644,1.0,12
28,28,3.110318491119375,0.0,26
29,29,3.035339212886474,1.0,24
30,30,3.239625726720484,1.0,28
31,31,2.9915354879595912,1.0,24
32,32,2.8504620190583214,1.0,28
33,33,3.373320984271411,1.0,13
34,34,3.4204714020422693,1.0,14
35,35,3.280032537409535,1.0,11
36,36,3.3936670995620504,1.0,11
37,37,3.2657681863319103,1.0,11
38,38,3.574913066486975,1.0,11
39,39,3.411811473688859,1.0,13
40,40,3.574399773362475,1.0,15
41,41,3.457194979276641,1.0,11
42,42,3.173305945202672,1.0,11
43,43,3.5025913114345415,1.0,13
44,44,3.639427061772187,1.0,11
45,45,3.619946750369193,1.0,11
46,46,3.8038441525485416,1.0,11
47,47,3.8368287180813128,1.0,12
48,48,3.4831204343154085,1.0,11
49,49,3.6881976636098015,1.0,15
0,0,0.513487397899141,1.0,12
1,1,1.1056690916830043,1.0,11
2,2,1.2810363636736575,1.0,11
3,3,1.4368070696627642,1.0,33
4,4,1.870172467879914,1.0,22
5,5,1.9268253687762473,1.0,23
6,6,2.182778253335615,1.0,13
7,7,2.6926612193739454,1.0,13
8,8,2.8775204117743374,0.0,11
9,9,2.1788662068782494,1.0,11
10,10,2.262248326799606,1.0,12
11,11,2.3840263760777756,1.0,12
12,12,2.58263807592514,1.0,23
13,13,2.0041312163359173,1.0,25
14,14,2.017030017918767,1.0,16
15,15,2.292528297517353,1.0,25
16,16,2.5609733825705585,1.0,15
17,17,2.84357403092524,1.0,16
18,18,3.199564447608,1.0,17
19,19,3.589508887236162,1.0,50
20,20,3.6299095535925567,0.0,10
21,21,3.3442784990132233,1.0,11
22,22,3.3382588618715037,1.0,11
23,23,3.3425186434791114,1.0,12
24,24,3.351470672520309,1.0,14
25,25,3.088997517126987,1.0,30
26,26,3.131904193943636,1.0,16
27,27,3.2294311763931582,1.0,26
28,28,3.176636747489188,1.0,28
29,29,3.130896120781631,1.0,30
30,30,3.3163410645794325,1.0,29
31,31,3.24930235928145,0.0,28
32,32,3.142734687196341,0.0,26
33,33,2.789317649193892,1.0,21
34,34,3.01135553834381,1.0,24
35,35,2.8024457327940735,1.0,16
36,36,2.7862044829308963,0.0,25
37,37,2.8116181588284177,1.0,24
38,38,2.647037807917998,1.0,32
39,39,2.6684426563781685,1.0,28
40,40,2.5960372998913637,0.0,21
41,41,2.7014700625167323,0.0,25
42,42,2.674544667777477,1.0,29
43,43,2.721199627161264,1.0,22
44,44,2.7155588898724177,0.0,20
45,45,2.7270322642164007,1.0,24
46,46,2.6478152522808482,1.0,21
47,47,2.8131847966151184,1.0,18
48,48,3.0897095693395,1.0,32
49,49,2.8078856248358894,1.0,28
0,0,0.47443910329589706,1.0,13
1,1,0.9421509292138024,1.0,11
2,2,1.554722815130084,1.0,12
3,3,1.37814114361814,1.0,17
4,4,1.6999961595443114,0.0,10
5,5,1.996064271902178,1.0,32
